N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT;D;WR
13;2;27;46533463;3;2;3.358;False;False;True;True;False;False
12;3;28;49124553;3;0;3.938;False;False;False;True;False;False
16;2;25;52001545;3;1;5.41;False;False;False;True;False;False
13;3;27;46557537;3;0;3.751;False;False;False;True;False;False
27;3;19;31588484;3;0;4.09;False;False;False;True;False;False
10;2;31;55252558;3;1;4.117;False;False;False;True;False;False
24;2;20;35387045;3;1;4.404;False;False;False;True;False;False
11;3;30;52009636;3;2;4.384;False;False;True;True;False;False
4;2;50;88409904;3;1;4.049;False;False;False;True;False;False
24;2;20;35376642;3;1;4.844;False;False;False;True;False;False
19;2;22;44203537;3;1;5.08;False;False;False;True;False;False
22;3;21;38456945;3;0;4.205;False;False;False;True;False;False
28;3;18;30498844;3;0;4.175;False;False;False;True;False;False
29;3;18;29497167;3;0;4.092;False;False;False;True;False;False
30;3;18;28532572;3;0;4.118;False;False;False;True;False;False
29;2;18;29492365;3;1;4.446;False;False;False;True;False;False
9;2;33;58960614;3;1;4.837;False;False;False;True;False;False
17;3;24;49128106;3;1;5.263;False;False;False;True;False;False
24;3;20;35369947;3;6;4.83;False;False;True;True;False;False
15;2;25;42115490;3;1;3.575;False;False;False;True;False;False
30;2;18;28536616;3;1;4.421;False;False;False;True;False;False
4;2;50;88407819;3;1;4.172;False;False;False;True;False;False
20;2;22;42108982;3;1;5.141;False;False;False;True;False;False
8;2;35;63154792;3;1;4.732;False;False;False;True;False;False
18;3;23;46532689;3;1;5.344;False;False;False;True;False;False
15;3;25;42115123;3;0;3.862;False;False;False;True;False;False
25;2;20;34013793;3;1;4.749;False;False;False;True;False;False
28;3;18;30500194;3;0;4.539;False;False;False;True;False;False
19;2;22;44212179;3;1;4.955;False;False;False;True;False;False
13;2;27;46555359;3;1;4.339;False;False;False;True;False;False
14;3;26;44204395;3;0;4.057;False;False;False;True;False;False
7;2;37;68008449;3;1;4.091;False;False;False;True;False;False
20;3;22;42104828;3;4;4.709;False;False;True;True;False;False
15;2;25;42120668;3;0;3.285;False;False;False;True;False;False
24;3;20;35386993;3;0;4.5;False;False;False;True;False;False
22;3;21;38465163;3;0;4.897;False;False;False;True;False;False
31;2;17;27627260;3;2;3.859;False;False;True;True;False;False
22;3;21;38435109;3;0;4.221;False;False;False;True;False;False
11;2;30;52008438;3;1;4.086;False;False;False;True;False;False
18;3;23;46537638;3;1;5.399;False;False;False;True;False;False
4;2;50;88416651;3;1;4.067;False;False;False;True;False;False
25;3;20;34020956;3;0;4.281;False;False;False;True;False;False
24;3;20;35372605;3;0;4.964;False;False;False;True;False;False
28;3;18;30515450;3;4;4.981;False;False;True;True;False;False
5;2;44;80368577;3;1;4.228;False;False;False;True;False;False
31;3;17;27634748;3;0;4.233;False;False;False;True;False;False
24;3;20;35364804;3;1;4.667;False;False;False;True;False;False
16;2;25;52027129;3;1;5.247;False;False;False;True;False;False
27;2;19;31591032;3;1;4.345;False;False;False;True;False;False
12;3;28;49115126;3;0;3.753;False;False;False;True;False;False
15;2;25;42108126;3;2;3.606;False;False;True;True;False;False
21;2;21;40192128;3;1;4.746;False;False;False;True;False;False
12;2;28;49111187;3;10;3.639;False;False;True;True;False;False
19;3;22;44206831;3;1;5.324;False;False;False;True;False;False
30;2;18;28531126;3;0;4.095;False;False;False;True;False;False
17;3;24;49118658;3;3;4.94;False;False;True;True;False;False
17;2;24;49140874;3;1;5.042;False;False;False;True;False;False
32;3;17;26808722;3;1;6.272;False;False;False;True;False;False
7;3;37;68028769;4;0;4.225;False;False;False;True;False;False
28;2;18;30493798;3;1;4.599;False;False;False;True;False;False
20;2;22;42108439;3;1;4.879;False;False;False;True;False;False
17;2;24;49119115;3;1;5.382;False;False;False;True;False;False
4;2;50;88407075;3;1;4.342;False;False;False;True;False;False
17;2;24;49131962;3;1;5.186;False;False;False;True;False;False
17;3;24;49139050;3;1;5.213;False;False;False;True;False;False
27;2;19;31587762;3;0;3.752;False;False;False;True;False;False
24;3;20;35387090;3;0;4.531;False;False;False;True;False;False
32;3;17;26801454;3;1;6.675;False;False;False;True;False;False
31;3;17;27643563;4;0;4.535;False;False;False;True;False;False
13;3;27;46559001;3;0;3.83;False;False;False;True;False;False
10;2;31;55258343;3;1;4.077;False;False;False;True;False;False
20;2;22;42123690;3;1;5.695;False;False;False;True;False;False
32;3;17;26803090;3;1;6.164;False;False;False;True;False;False
26;2;19;32746458;3;4;4.19;False;False;True;True;False;False
29;2;18;29489701;3;1;4.55;False;False;False;True;False;False
12;3;28;49142516;3;0;3.847;False;False;False;True;False;False
24;3;20;35360056;3;17;4.696;False;False;True;True;False;False
11;2;30;52011621;3;7;3.612;False;False;True;True;False;False
20;3;22;42115416;3;1;5.118;False;False;False;True;False;False
32;3;17;26790493;3;1;5.994;False;False;False;True;False;False
23;2;20;36858194;3;1;5.37;False;False;False;True;False;False
29;2;18;29490085;3;1;4.475;False;False;False;True;False;False
30;2;18;28525599;3;28;3.861;False;False;True;True;False;False
18;3;23;46527927;3;1;5.278;False;False;False;True;False;False
21;2;21;40205675;3;1;4.654;False;False;False;True;False;False
16;2;25;52029497;3;1;4.756;False;False;False;True;False;False
28;3;18;30496438;3;0;4.269;False;False;False;True;False;False
25;2;20;34007674;3;1;4.814;False;False;False;True;False;False
18;2;23;46530444;3;1;5.153;False;False;False;True;False;False
6;3;40;73690122;3;1;4.319;False;False;False;True;False;False
31;3;17;27626996;3;0;4.296;False;False;False;True;False;False
9;2;33;58963420;3;1;4.284;False;False;False;True;False;False
20;2;22;42120651;3;1;5.075;False;False;False;True;False;False
18;3;23;46535419;3;5;4.838;False;False;True;True;False;False
27;3;19;31571467;3;0;4.456;False;False;False;True;False;False
25;2;20;34014702;3;1;4.316;False;False;False;True;False;False
20;2;22;42116840;3;1;5.088;False;False;False;True;False;False
16;3;25;52020424;3;1;4.887;False;False;False;True;False;False
24;2;20;35388506;3;1;5.124;False;False;False;True;False;False
25;2;20;34010718;3;1;4.341;False;False;False;True;False;False
