N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
33;2;17;250000;6;7;8.725;False;False;True;True
40;3;15;250000;6;5;9.706;False;False;True;True
54;2;13;250000;8;7;10.917;False;False;True;True
40;4;15;250000;2;3;7.555;False;False;True;True
56;4;13;250000;8;6;12.794;False;False;True;True
44;3;15;250000;5;4;8.64;False;False;False;True
51;2;14;250000;9;7;12.231;False;False;True;True
12;4;28;250000;0;0;4.337;False;False;False;True
64;4;12;250000;8;64;12.797;False;False;True;True
34;2;17;250000;3;4;7.426;False;False;True;True
45;3;14;250000;4;5;7.591;False;False;True;True
8;4;35;250000;3;1;7.382;False;False;False;True
5;2;44;250000;2;1;4.354;False;False;False;True
52;4;13;250000;6;6;10.715;False;False;True;True
18;3;23;250000;7;10;10.865;False;False;True;True
35;3;16;250000;7;5;10.706;False;False;True;True
4;3;50;250000;0;0;3.256;False;False;False;True
45;3;14;250000;8;6;11.773;False;False;True;True
45;3;14;250000;4;4;7.646;False;False;False;True
33;2;17;250000;5;8;7.711;False;False;True;True
58;3;13;250000;8;6;10.836;False;False;True;True
48;4;14;250000;5;4;9.696;False;False;True;True
30;3;18;250000;4;4;7.533;False;False;True;True
26;4;19;250000;2;3;6.408;False;False;True;True
50;4;14;250000;12;7;16.93;False;False;True;True
4;3;50;250000;0;0;3.138;False;False;False;True
28;3;18;250000;6;4;9.621;False;False;True;True
18;4;23;250000;4;2;8.483;False;False;False;True
39;2;16;250000;7;6;8.763;False;False;True;True
63;2;12;250000;8;5;9.868;False;False;False;True
47;2;14;250000;5;7;7.827;False;False;True;True
21;4;21;250000;4;2;8.504;False;False;False;True
41;2;15;250000;4;5;7.787;False;False;True;True
34;2;17;250000;4;5;7.481;False;False;True;True
36;4;16;250000;2;3;7.557;False;False;True;True
15;4;25;250000;3;1;7.376;False;False;False;True
33;2;17;250000;2;3;7.491;False;False;True;True
62;4;12;250000;4;3;8.682;False;False;False;True
46;3;14;250000;12;6;15.956;False;False;True;True
32;4;17;250000;3;4;7.582;False;False;True;True
7;4;37;250000;0;0;4.194;False;False;False;True
26;4;19;250000;4;3;8.466;False;False;True;True
49;2;14;250000;5;6;7.86;False;False;True;True
57;4;13;250000;10;5;13.848;False;False;True;True
13;4;27;250000;6;1;10.496;False;False;False;True
25;2;20;250000;7;6;9.706;False;False;True;True
36;2;16;250000;3;4;7.408;False;False;True;True
8;4;35;250000;4;1;8.395;False;False;False;True
36;2;16;250000;11;36;14.014;False;False;True;True
56;4;13;250000;1;1;7.756;False;False;False;True
31;3;17;250000;5;3;8.585;False;False;False;True
59;4;13;250000;4;4;8.648;False;False;True;True
21;2;21;250000;6;10;30.206;True;False;True;True
24;2;20;250000;4;6;6.621;False;False;True;True
55;2;13;250000;8;55;10.661;False;False;True;True
30;4;18;250000;4;3;8.49;False;False;True;True
40;2;15;250000;4;6;7.55;False;False;True;True
24;2;20;250000;2;2;6.014;False;False;False;True
55;4;13;250000;7;6;11.735;False;False;True;True
17;4;24;250000;4;3;8.485;False;False;True;True
64;3;12;250000;4;5;9.746;False;False;True;True
9;4;33;250000;4;0;8.402;False;False;False;True
35;4;16;250000;7;3;10.693;False;False;True;True
13;4;27;250000;3;1;7.383;False;False;False;True
31;4;17;250000;2;3;6.403;False;False;True;True
15;3;25;250000;4;1;6.479;False;False;False;True
15;2;25;250000;4;3;6.534;False;False;True;True
51;2;14;250000;11;8;14.031;False;False;True;True
41;2;15;250000;4;5;7.641;False;False;True;True
4;2;50;250000;3;1;5.374;False;False;False;True
23;2;20;250000;1;1;6.217;False;False;False;True
20;2;22;250000;3;5;6.07;False;False;True;True
20;3;22;250000;5;4;8.578;False;False;True;True
52;4;13;250000;6;5;9.662;False;False;True;True
14;2;26;250000;4;3;6.535;False;False;True;True
48;3;14;250000;8;6;11.869;False;False;True;True
37;4;16;250000;5;5;9.638;False;False;True;True
38;4;16;250000;6;5;10.742;False;False;True;True
33;4;17;250000;3;4;7.591;False;False;True;True
60;2;12;250000;8;5;9.919;False;False;False;True
28;4;18;250000;10;3;14.701;False;False;True;True
46;4;14;250000;6;3;10.675;False;False;False;True
49;2;14;250000;6;49;8.689;False;False;True;True
18;3;23;250000;4;4;7.534;False;False;True;True
16;2;25;250000;8;4;9.704;False;False;True;True
62;4;12;250000;8;6;12.799;False;False;True;True
42;2;15;250000;4;6;7.761;False;False;True;True
55;4;13;250000;1;1;7.817;False;False;False;True
4;2;50;250000;4;1;6.422;False;False;False;True
