N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED
14;2;52112640;30;3.53;False;False;False;False;True;1
14;2;51736064;30;3.23;False;False;False;False;True;1
23;2;61448448;30;4.55;False;False;False;False;True;1
8;3;50992512;30;2.23;False;False;False;False;True;0
21;3;65122048;30;3.95;False;False;False;False;True;0
22;2;63731456;30;5.7;False;False;False;False;True;1
10;2;69561856;30;4.48;False;False;False;False;True;1
16;3;63483648;30;3.1;False;False;False;False;True;0
4;2;71536256;30;3.01;False;False;False;False;True;1
30;3;58426624;30;4.07;False;False;False;False;True;0
20;3;57071872;30;3.71;False;False;False;False;True;0
24;2;63061760;30;4.4;False;False;False;False;True;1
13;2;50544512;30;3.13;False;False;False;False;True;1
9;3;66885504;30;4.12;False;False;False;False;True;1
22;2;77607296;30;3.2;False;False;False;True;True;22
25;2;55987456;30;3.81;False;False;False;False;True;1
6;2;61489024;30;3.69;False;False;False;True;True;2
20;3;62420736;30;3.84;False;False;False;False;True;0
12;2;59981696;30;3.64;False;False;False;False;True;1
27;3;74410240;30;4.73;False;False;False;True;True;2
19;3;76138112;30;5.42;False;False;False;False;True;1
24;2;60887168;30;4.12;False;False;False;False;True;1
18;2;75336192;30;3.52;False;False;False;True;True;18
25;3;79559040;30;5.4;False;False;False;False;True;1
18;2;68392960;30;4.67;False;False;False;False;True;1
29;3;75498112;30;4.75;False;False;False;True;True;2
20;2;72297728;30;3.22;False;False;False;True;True;20
31;2;58374272;30;4.22;False;False;False;False;True;1
6;3;79680512;30;4.17;False;False;False;False;True;0
28;2;55775360;30;4.2;False;False;False;False;True;1
32;3;55234432;30;3.27;False;False;False;False;True;0
23;3;76304896;30;4.68;False;False;False;True;True;2
15;3;65697536;30;3.97;False;False;False;False;True;0
6;3;67232384;30;3.56;False;False;False;False;True;0
17;2;68042496;30;4.09;False;False;False;False;True;1
10;2;58403968;30;3.54;False;False;False;False;True;0
32;2;60740608;30;3.35;False;False;False;True;True;32
5;2;78878720;30;3.05;False;False;False;True;True;5
12;2;74898816;30;4.38;False;False;False;False;True;1
15;2;51307136;30;3.32;False;False;False;True;True;2
24;3;53622272;30;3.75;False;False;False;False;True;0
16;3;72993536;30;3.32;False;False;False;False;True;0
31;3;68867200;30;4.32;False;False;False;False;True;1
26;3;51118720;30;3.61;False;False;False;False;True;0
26;3;51227264;30;3.56;False;False;False;False;True;0
28;2;73666816;30;3.56;False;False;False;True;True;28
16;3;69006592;30;3.7;False;False;False;False;True;0
31;2;53026560;30;3.59;False;False;False;True;True;2
32;2;52499840;30;3.57;False;False;False;False;True;1
4;3;75031040;30;2.8;False;False;False;False;True;0
11;3;70287488;30;4.05;False;False;False;False;True;0
7;2;71463552;30;3.05;False;False;False;True;True;7
22;3;69329408;30;4.24;False;False;False;False;True;1
21;2;62458880;30;3.89;False;False;False;False;True;1
6;2;50445568;30;2.94;False;False;False;False;True;0
28;3;54543360;30;3.94;False;False;False;False;True;0
21;3;77962368;30;4.85;False;False;False;False;True;1
25;2;73090048;30;3.63;False;False;False;True;True;25
25;2;58431488;30;3.71;False;False;False;False;True;1
8;2;60361728;30;2.95;False;False;False;False;True;0
16;3;51108096;30;2.81;False;False;False;False;True;0
28;3;77364096;30;5.15;False;False;False;False;True;1
32;2;50984192;30;2.94;False;False;False;False;True;0
18;2;64527488;30;3.07;False;False;False;True;True;18
18;2;64784896;30;4.22;False;False;False;False;True;1
9;3;77204480;30;4.25;False;False;False;False;True;0
27;2;56584576;30;4.44;False;False;False;False;True;1
18;3;54645888;30;3.29;False;False;False;False;True;0
22;3;71500544;30;4.56;False;False;False;True;True;2
12;2;55820672;30;3.51;False;False;False;True;True;2
20;3;56856192;30;3.69;False;False;False;False;True;0
10;3;50076160;30;3.11;False;False;False;False;True;0
15;3;67276416;30;4.41;False;False;False;False;True;0
9;2;63445504;30;3.85;False;False;False;False;True;1
21;2;64791936;30;4.14;False;False;False;False;True;1
30;3;53482880;30;3.76;False;False;False;False;True;0
20;3;55106944;30;3.94;False;False;False;False;True;0
11;3;60808576;30;3.51;False;False;False;False;True;0
18;2;77247360;30;3.44;False;False;False;True;True;18
19;2;69846656;30;4.56;False;False;False;False;True;1
8;3;77252096;30;3.19;False;False;False;False;True;0
26;2;79056128;30;3.83;False;False;False;True;True;26
22;3;54176384;30;3.81;False;False;False;False;True;0
7;3;69999104;30;3.81;False;False;False;False;True;0
7;2;76041600;30;3.09;False;False;False;True;True;7
5;2;74688000;30;3.05;False;False;False;True;True;5
7;2;59278592;30;3.1;False;False;False;True;True;2
16;2;50612352;30;2.67;False;False;False;False;True;0
13;3;58145408;30;3.24;False;False;False;False;True;0
5;2;64990976;30;3.42;False;False;False;False;True;1
18;3;53481728;30;3.29;False;False;False;False;True;0
23;2;66507776;30;3.95;False;False;False;False;True;1
25;3;78499712;30;4.87;False;False;False;True;True;2
4;3;61904768;30;2.62;False;False;False;False;True;0
27;3;68559744;30;4.28;False;False;False;False;True;1
30;3;55682560;30;4.18;False;False;False;False;True;0
4;3;77684736;30;3.21;False;False;False;False;True;0
28;3;77056768;30;5.05;False;False;False;False;True;1
27;2;71571968;30;3.42;False;False;False;True;True;27
13;2;71835264;30;4.64;False;False;False;False;True;1
14;2;54905600;30;3.46;False;False;False;False;True;1
13;2;74151680;30;4.64;False;False;False;False;True;1
26;2;79547136;30;3.56;False;False;False;True;True;26
30;3;59420416;30;4.12;False;False;False;False;True;0
4;2;59922048;30;2.65;False;False;False;False;True;0
10;2;52136320;30;3.15;False;False;False;False;True;0
4;2;68877824;30;2.62;False;False;False;False;True;0
10;3;76679040;30;4.12;False;False;False;False;True;0
29;3;53145728;30;3.75;False;False;False;False;True;0
29;2;72583680;30;3.55;False;False;False;True;True;29
20;2;74899968;30;3.28;False;False;False;True;True;20
22;3;51955328;30;3.64;False;False;False;False;True;0
20;2;50879232;30;3.61;False;False;False;True;True;2
24;3;76216704;30;4.81;False;False;False;True;True;2
19;3;56742912;30;3.96;False;False;False;False;True;0
15;2;63134464;30;4.02;False;False;False;False;True;1
24;2;67197824;30;3.16;False;False;False;True;True;24
8;2;50832768;30;2.27;False;False;False;False;True;0
18;3;78999040;30;5.44;False;False;False;False;True;1
16;2;78954880;30;3.21;False;False;False;True;True;16
28;2;51235584;30;3.71;False;False;False;True;True;2
26;2;66819968;30;3.15;False;False;False;True;True;26
9;2;57429248;30;3.38;False;False;False;False;True;1
27;2;62803328;30;4.21;False;False;False;False;True;1
8;3;67363456;30;2.92;False;False;False;False;True;0
15;3;66200448;30;3.84;False;False;False;False;True;0
16;3;60435584;30;3.08;False;False;False;False;True;0
29;2;57207680;30;4.08;False;False;False;False;True;1
5;2;72176128;30;3.43;False;False;False;False;True;1
19;3;53219584;30;3.7;False;False;False;False;True;0
