N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED;WHERE
11;2;55509760;30;4.54;False;False;False;False;True;1;REDUCE-SCATTER
31;4;74106496;30;6.68;False;False;False;True;True;31;REDUCE-SCATTER
10;3;68660992;30;5.09;False;False;False;False;True;1;ALLGATHER
14;4;65838208;30;5.83;False;False;False;False;True;1;UNKNOWN
4;3;57554432;30;2.87;False;False;False;False;True;0;UNKNOWN
11;3;57148160;30;4.42;False;False;False;False;True;0;UNKNOWN
26;2;55282176;30;4.44;False;False;False;True;True;26;REDUCE-SCATTER
6;2;58146560;30;3.63;False;False;False;False;True;1;ALLGATHER
26;4;61747584;30;5.46;False;False;False;True;True;26;REDUCE-SCATTER
4;2;75489792;30;3.48;False;False;False;False;True;1;UNKNOWN
11;2;53057536;30;4.44;False;False;False;False;True;1;REDUCE-SCATTER
9;3;71054848;30;5.14;False;False;False;False;True;1;ALLGATHER
5;4;57125504;30;3.62;False;False;False;False;True;0;UNKNOWN
16;4;60086528;30;4.32;False;False;False;False;True;0;UNKNOWN
32;4;69466496;30;6.39;False;False;False;True;True;32;REDUCE-SCATTER
32;3;62729472;30;5.49;False;False;False;True;True;32;ALLGATHER
29;3;73130496;30;4.6;False;False;False;True;True;29;UNKNOWN
15;3;54574336;30;4.69;False;False;False;True;True;2;UNKNOWN
30;4;58501760;30;5.44;False;False;False;True;True;30;REDUCE-SCATTER
18;3;64833664;30;4.45;False;False;False;True;True;18;ALLGATHER
31;3;78550912;30;5.43;False;False;False;True;True;31;UNKNOWN
12;3;59109376;30;4.35;False;False;False;False;True;0;UNKNOWN
18;2;73416448;30;4.01;False;False;False;True;True;18;REDUCE-SCATTER
21;2;68923136;30;4.39;False;False;False;True;True;21;REDUCE-SCATTER
6;3;64349952;30;4.15;False;False;False;False;True;1;UNKNOWN
9;4;59295360;30;4.31;False;False;False;False;True;0;UNKNOWN
32;4;61739264;30;6.03;False;False;False;True;True;32;ALLGATHER
24;2;55578752;30;4.18;False;False;False;True;True;24;REDUCE-SCATTER
25;3;70212480;30;5.43;False;False;False;True;True;25;REDUCE-SCATTER
27;4;53215872;30;7.12;False;False;False;False;True;1;ALLGATHER
21;3;58475520;30;4.42;False;False;False;True;True;21;ALLGATHER
29;2;72308352;30;4.25;False;False;False;True;True;29;UNKNOWN
28;2;62023936;30;3.77;False;False;False;True;True;28;UNKNOWN
7;3;61108864;30;3.83;False;False;False;False;True;0;UNKNOWN
25;3;53928448;30;4.47;False;False;False;True;True;25;REDUCE-SCATTER
25;2;72228608;30;3.69;False;False;False;True;True;25;UNKNOWN
14;2;52135168;30;4.75;False;False;False;False;True;1;REDUCE-SCATTER
31;3;63489664;30;5.82;False;False;False;True;True;31;REDUCE-SCATTER
18;4;78216192;30;6.59;False;False;False;False;True;1;ALLGATHER
10;2;74609280;30;3.8;False;False;False;True;True;10;REDUCE-SCATTER
22;3;70893952;30;5.03;False;False;False;True;True;22;REDUCE-SCATTER
29;3;75109760;30;6.27;False;False;False;True;True;29;REDUCE-SCATTER
7;3;59351296;30;4.08;False;False;False;False;True;0;UNKNOWN
5;4;52974080;30;3.43;False;False;False;False;True;0;UNKNOWN
28;3;68487040;30;4.55;False;False;False;True;True;28;UNKNOWN
5;4;50530176;30;3.24;False;False;False;False;True;0;UNKNOWN
12;2;58823424;30;4.82;False;False;False;False;True;1;ALLGATHER
17;4;71742336;30;6.13;False;False;False;False;True;1;ALLGATHER
14;3;60155648;30;4.72;False;False;False;True;True;2;UNKNOWN
32;4;65268608;30;7.02;False;False;False;True;True;32;ALLGATHER
20;3;77124736;30;5.0;False;False;False;True;True;20;REDUCE-SCATTER
14;4;63620736;30;5.11;False;False;False;False;True;0;UNKNOWN
12;2;76835200;30;3.82;False;False;False;True;True;12;REDUCE-SCATTER
20;4;63149952;30;6.68;False;False;False;False;True;1;ALLGATHER
21;3;58640000;30;6.71;False;False;False;False;True;1;REDUCE-SCATTER
11;2;72184448;30;3.72;False;False;False;True;True;11;REDUCE-SCATTER
19;3;57027712;30;5.76;False;False;False;False;True;1;ALLGATHER
12;4;68359552;30;4.91;False;False;False;False;True;0;UNKNOWN
18;4;69024384;30;6.06;False;False;False;False;True;1;UNKNOWN
19;4;79071744;30;8.13;False;False;False;False;True;1;REDUCE-SCATTER
32;2;75084672;30;5.57;False;False;False;True;True;32;REDUCE-SCATTER
28;2;75794816;30;4.06;False;False;False;True;True;28;UNKNOWN
21;3;56209152;30;5.76;False;False;False;False;True;1;ALLGATHER
19;4;65129216;30;6.63;False;False;False;False;True;1;ALLGATHER
28;2;79682944;30;4.25;False;False;False;True;True;28;UNKNOWN
29;2;71334784;30;4.53;False;False;False;True;True;29;UNKNOWN
15;3;76824448;30;4.39;False;False;False;True;True;15;REDUCE-SCATTER
32;4;56229376;30;6.05;False;False;False;True;True;32;ALLGATHER
30;2;66730624;30;5.9;False;False;False;True;True;30;REDUCE-SCATTER
15;2;59521664;30;3.51;False;False;False;True;True;15;REDUCE-SCATTER
11;4;75064448;30;5.07;False;False;False;False;True;0;UNKNOWN
10;3;69664256;30;4.73;False;False;False;False;True;1;UNKNOWN
30;3;57722496;30;5.48;False;False;False;True;True;30;REDUCE-SCATTER
12;3;73007744;30;4.86;False;False;False;False;True;1;ALLGATHER
30;4;54024960;30;7.91;False;False;False;False;True;1;REDUCE-SCATTER
22;2;59966080;30;4.07;False;False;False;True;True;22;REDUCE-SCATTER
24;3;62147968;30;4.82;False;False;False;True;True;24;REDUCE-SCATTER
10;3;55898112;30;4.06;False;False;False;False;True;0;UNKNOWN
23;3;66764032;30;4.84;False;False;False;True;True;23;REDUCE-SCATTER
21;3;70845056;30;4.63;False;False;False;True;True;21;REDUCE-SCATTER
11;4;70543616;30;5.09;False;False;False;False;True;0;UNKNOWN
15;3;70183808;30;6.93;False;False;False;False;True;1;REDUCE-SCATTER
5;4;56751360;30;3.91;False;False;False;False;True;0;UNKNOWN
12;2;75312384;30;3.71;False;False;False;True;True;12;REDUCE-SCATTER
22;4;56609536;30;5.74;False;False;False;False;True;0;UNKNOWN
23;3;77870592;30;5.34;False;False;False;True;True;23;REDUCE-SCATTER
24;2;52972928;30;3.97;False;False;False;True;True;24;REDUCE-SCATTER
18;3;50540928;30;4.28;False;False;False;False;True;0;UNKNOWN
10;3;58971136;30;4.13;False;False;False;False;True;0;UNKNOWN
16;2;57231488;30;3.9;False;False;False;True;True;16;ALLGATHER
24;3;72895872;30;5.53;False;False;False;True;True;24;REDUCE-SCATTER
7;4;68749184;30;4.38;False;False;False;False;True;0;UNKNOWN
8;4;73366528;30;3.91;False;False;False;False;True;0;UNKNOWN
27;4;56957440;30;7.81;False;False;False;False;True;1;REDUCE-SCATTER
19;4;79212288;30;7.25;False;False;False;False;True;1;ALLGATHER
21;3;74106368;30;4.82;False;False;False;True;True;21;REDUCE-SCATTER
26;2;55725312;30;4.66;False;False;False;True;True;26;REDUCE-SCATTER
13;2;64472704;30;3.56;False;False;False;True;True;13;REDUCE-SCATTER
8;2;50058240;30;3.15;False;False;False;False;True;1;UNKNOWN
15;3;53031296;30;4.61;False;False;False;True;True;2;UNKNOWN
29;3;64111616;30;5.89;False;False;False;True;True;29;REDUCE-SCATTER
21;2;71294336;30;3.86;False;False;False;True;True;21;UNKNOWN
19;4;59588352;30;5.77;False;False;False;False;True;1;UNKNOWN
23;2;60806144;30;4.45;False;False;False;True;True;23;REDUCE-SCATTER
17;2;68761088;30;3.87;False;False;False;True;True;17;REDUCE-SCATTER
22;3;62209792;30;4.45;False;False;False;True;True;22;REDUCE-SCATTER
22;3;79422080;30;5.33;False;False;False;True;True;22;REDUCE-SCATTER
30;2;50769664;30;4.59;False;False;False;True;True;30;REDUCE-SCATTER
4;4;52620160;30;2.71;False;False;False;False;True;0;UNKNOWN
21;4;63960320;30;6.43;False;False;False;False;True;1;ALLGATHER
19;2;73795456;30;4.1;False;False;False;True;True;19;REDUCE-SCATTER
25;3;53480448;30;6.56;False;False;False;False;True;1;REDUCE-SCATTER
27;2;64378496;30;3.68;False;False;False;True;True;27;UNKNOWN
23;4;60090112;30;6.56;False;False;False;False;True;1;ALLGATHER
18;4;51209344;30;4.57;False;False;False;False;True;0;UNKNOWN
4;2;76736256;30;3.43;False;False;False;False;True;1;UNKNOWN
16;4;70438784;30;5.07;False;False;False;False;True;0;UNKNOWN
10;2;55683712;30;4.18;False;False;False;False;True;1;ALLGATHER
5;2;63084416;30;3.81;False;False;False;False;True;1;ALLGATHER
25;2;58031104;30;4.14;False;False;False;True;True;25;REDUCE-SCATTER
8;4;70063488;30;4.02;False;False;False;False;True;0;UNKNOWN
31;2;54362240;30;4.8;False;False;False;True;True;31;REDUCE-SCATTER
31;2;57849856;30;4.01;False;False;False;True;True;31;UNKNOWN
8;4;54780416;30;3.22;False;False;False;False;True;0;UNKNOWN
9;2;66133632;30;3.37;False;False;False;True;True;9;REDUCE-SCATTER
5;4;68420224;30;4.2;False;False;False;False;True;0;UNKNOWN
14;4;70814080;30;5.42;False;False;False;False;True;0;UNKNOWN
12;2;60483328;30;3.27;False;False;False;True;True;12;REDUCE-SCATTER
20;4;52101888;30;5.32;False;False;False;False;True;0;UNKNOWN
6;2;79532800;30;3.54;False;False;False;True;True;6;REDUCE-SCATTER
13;3;71337216;30;5.75;False;False;False;False;True;1;REDUCE-SCATTER
18;3;76335872;30;6.9;False;False;False;False;True;1;REDUCE-SCATTER
20;4;61804672;30;6.27;False;False;False;False;True;1;UNKNOWN
12;4;70675968;30;5.21;False;False;False;False;True;0;UNKNOWN
9;3;63691008;30;4.95;False;False;False;False;True;1;ALLGATHER
31;3;55304704;30;5.3;False;False;False;True;True;31;REDUCE-SCATTER
10;3;54469504;30;3.97;False;False;False;False;True;0;UNKNOWN
32;2;77604864;30;6.38;False;False;False;True;True;32;REDUCE-SCATTER
7;2;76275072;30;3.53;False;False;False;True;True;7;REDUCE-SCATTER
29;2;72805248;30;3.94;False;False;False;True;True;29;UNKNOWN
16;3;62116992;30;4.25;False;False;False;False;True;0;UNKNOWN
31;3;50182272;30;5.03;False;False;False;True;True;31;REDUCE-SCATTER
28;3;50594432;30;4.5;False;False;False;True;True;28;REDUCE-SCATTER
10;4;76877952;30;5.33;False;False;False;False;True;0;UNKNOWN
26;3;62306432;30;4.78;False;False;False;True;True;26;REDUCE-SCATTER
26;2;67724416;30;3.95;False;False;False;True;True;26;UNKNOWN
18;3;70440064;30;6.03;False;False;False;False;True;1;ALLGATHER
20;2;68108032;30;4.06;False;False;False;True;True;20;REDUCE-SCATTER
5;3;78030336;30;4.33;False;False;False;False;True;1;UNKNOWN
5;3;78531840;30;4.35;False;False;False;True;True;2;UNKNOWN
28;3;55651456;30;4.99;False;False;False;True;True;28;REDUCE-SCATTER
24;4;52358016;30;5.81;False;False;False;True;True;2;UNKNOWN
13;2;73689344;30;3.81;False;False;False;True;True;13;REDUCE-SCATTER
17;3;70027648;30;6.31;False;False;False;False;True;1;REDUCE-SCATTER
25;4;63269120;30;7.13;False;False;False;False;True;1;ALLGATHER
13;4;71483776;30;5.4;False;False;False;False;True;1;UNKNOWN
30;3;57596160;30;5.61;False;False;False;True;True;30;REDUCE-SCATTER
5;2;55025920;30;3.3;False;False;False;True;True;2;UNKNOWN
25;4;65424768;30;8.23;False;False;False;False;True;1;REDUCE-SCATTER
5;2;76474112;30;3.15;False;False;False;True;True;5;REDUCE-SCATTER
13;4;58413568;30;4.8;False;False;False;False;True;0;UNKNOWN
17;2;63102336;30;3.58;False;False;False;True;True;17;REDUCE-SCATTER
31;4;75902208;30;6.77;False;False;False;True;True;31;REDUCE-SCATTER
15;2;72387072;30;4.06;False;False;False;True;True;15;REDUCE-SCATTER
8;3;63976960;30;3.77;False;False;False;False;True;0;UNKNOWN
16;2;67147776;30;3.6;False;False;False;True;True;16;REDUCE-SCATTER
29;4;65231744;30;5.87;False;False;False;True;True;29;REDUCE-SCATTER
13;4;69051904;30;5.23;False;False;False;False;True;1;UNKNOWN
11;2;71303808;30;4.0;False;False;False;True;True;11;REDUCE-SCATTER
17;2;60498816;30;5.06;False;False;False;False;True;1;REDUCE-SCATTER
30;3;58614912;30;5.73;False;False;False;True;True;30;REDUCE-SCATTER
16;2;72795776;30;3.6;False;False;False;True;True;16;REDUCE-SCATTER
24;2;67086976;30;4.76;False;False;False;True;True;24;REDUCE-SCATTER
30;4;59603840;30;5.7;False;False;False;True;True;30;REDUCE-SCATTER
6;3;68320128;30;4.43;False;False;False;False;True;1;UNKNOWN
12;4;65414016;30;5.06;False;False;False;False;True;0;UNKNOWN
26;2;61050496;30;4.87;False;False;False;True;True;26;REDUCE-SCATTER
8;4;54757760;30;3.47;False;False;False;False;True;0;UNKNOWN
14;4;69430784;30;5.88;False;False;False;True;True;2;UNKNOWN
10;4;59664640;30;4.15;False;False;False;False;True;0;UNKNOWN
17;2;65578368;30;3.9;False;False;False;True;True;17;REDUCE-SCATTER
4;2;70096896;30;3.33;False;False;False;False;True;0;UNKNOWN
