N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED;WHERE
8;4;78971648;30;4.49;False;False;False;False;True;0;UNKNOWN
4;4;63082112;30;2.92;False;False;False;False;True;0;UNKNOWN
25;3;69554688;30;5.1;False;False;False;True;True;25;UNKNOWN
14;4;61707008;30;4.82;False;False;False;False;True;0;UNKNOWN
7;2;55937536;30;3.54;False;False;False;True;True;2;UNKNOWN
6;2;54642176;30;3.56;False;False;False;False;True;0;UNKNOWN
16;2;64585856;30;4.0;False;False;False;True;True;16;UNKNOWN
28;2;71240704;30;4.11;False;False;False;True;True;28;UNKNOWN
24;3;62376704;30;5.71;False;False;False;False;True;1;UNKNOWN
12;3;79983232;30;5.69;False;False;False;False;True;1;UNKNOWN
17;2;62213504;30;5.29;False;False;False;False;True;1;UNKNOWN
18;3;57766528;30;4.93;False;False;False;True;True;2;UNKNOWN
7;4;78131584;30;4.43;False;False;False;False;True;0;UNKNOWN
9;4;77741952;30;5.45;False;False;False;False;True;1;UNKNOWN
26;4;63197696;30;6.12;False;False;False;False;True;1;UNKNOWN
7;4;62842624;30;3.89;False;False;False;False;True;0;UNKNOWN
11;2;76829184;30;3.94;False;False;False;True;True;11;UNKNOWN
32;3;65467648;30;5.72;False;False;False;True;True;32;UNKNOWN
12;2;77806208;30;4.12;False;False;False;True;True;12;UNKNOWN
11;3;63004672;30;4.37;False;False;False;False;True;1;UNKNOWN
15;4;71091712;30;5.45;False;False;False;False;True;0;UNKNOWN
9;2;74785664;30;3.37;False;False;False;True;True;9;UNKNOWN
13;4;63505024;30;4.63;False;False;False;False;True;0;UNKNOWN
7;3;63791104;30;4.07;False;False;False;False;True;0;UNKNOWN
26;3;76700416;30;5.56;False;False;False;True;True;26;UNKNOWN
28;3;53423360;30;6.0;False;False;False;False;True;1;UNKNOWN
26;3;52586880;30;5.62;False;False;False;False;True;1;UNKNOWN
26;4;77205760;30;6.22;False;False;False;True;True;26;UNKNOWN
16;3;65326976;30;4.59;False;False;False;False;True;1;UNKNOWN
25;2;72773120;30;3.86;False;False;False;True;True;25;UNKNOWN
14;3;56062592;30;4.52;False;False;False;False;True;1;UNKNOWN
10;2;64090112;30;4.89;False;False;False;False;True;1;UNKNOWN
22;2;77040000;30;3.83;False;False;False;True;True;22;UNKNOWN
6;3;74791552;30;5.05;False;False;False;False;True;1;UNKNOWN
23;3;61684352;30;4.48;False;False;False;True;True;23;UNKNOWN
5;2;59368064;30;4.21;False;False;False;False;True;1;UNKNOWN
10;3;76908928;30;5.37;False;False;False;False;True;1;UNKNOWN
15;4;79338624;30;5.59;False;False;False;False;True;0;UNKNOWN
23;3;52676096;30;6.74;False;False;False;False;True;1;UNKNOWN
19;3;52591488;30;4.64;False;False;False;False;True;1;UNKNOWN
28;4;61009920;30;7.31;False;False;False;False;True;1;UNKNOWN
22;4;52536832;30;4.91;False;False;False;False;True;0;UNKNOWN
30;4;67477760;30;6.16;False;False;False;True;True;30;UNKNOWN
28;2;57723648;30;3.97;False;False;False;True;True;28;UNKNOWN
22;4;69523712;30;6.08;False;False;False;False;True;0;UNKNOWN
24;4;50055936;30;4.87;False;False;False;False;True;0;UNKNOWN
17;4;53205248;30;4.7;False;False;False;False;True;0;UNKNOWN
18;3;59391872;30;4.99;False;False;False;False;True;1;UNKNOWN
26;2;73196160;30;4.2;False;False;False;True;True;26;UNKNOWN
13;2;60932480;30;3.29;False;False;False;True;True;13;UNKNOWN
4;4;63004672;30;2.99;False;False;False;False;True;0;UNKNOWN
28;3;72401280;30;5.64;False;False;False;True;True;28;UNKNOWN
24;2;75794944;30;4.03;False;False;False;True;True;24;UNKNOWN
24;3;62010880;30;4.63;False;False;False;True;True;24;UNKNOWN
19;3;73370112;30;5.37;False;False;False;False;True;1;UNKNOWN
