NP;SIZE;TIME;RESULT
4;1;0.000381;6
4;2;0.000316;12
4;4;0.00031;24
4;8;0.000339;48
4;16;0.000314;96
4;32;0.000434;192
4;64;0.000334;384
4;128;0.000311;768
4;256;0.000302;1536
4;512;0.000446;3072
4;1024;0.00032;6144
4;2048;0.000415;12288
4;4096;0.000379;24576
4;8192;0.000429;49152
4;16384;0.000485;98304
4;32768;0.000669;196608
4;65536;0.000813;393216
4;131072;0.001097;786432
4;262144;0.001977;1572864
4;524288;0.003626;3145728
4;1048576;0.007239;6291456
4;2097152;0.016331;12582912
4;4194304;0.03416;25165824
4;8388608;0.065983;50331648
4;16777216;0.138707;100663296
4;33554432;0.274578;201326592
4;67108864;0.61012;402653184
4;134217728;1.114862;805306368
8;1;0.000322;11
8;2;0.000432;22
8;4;0.000432;44
8;8;0.000435;88
8;16;0.000377;176
8;32;0.000367;352
8;64;0.000455;704
8;128;0.000373;1408
8;256;0.000429;2816
8;512;0.000347;5632
8;1024;0.000414;11264
8;2048;0.000358;22528
8;4096;0.000483;45056
8;8192;0.00052;90112
8;16384;0.000517;180224
8;32768;0.000665;360448
8;65536;0.001014;720896
8;131072;0.001229;1441792
8;262144;0.002392;2883584
8;524288;0.004932;5767168
8;1048576;0.010763;11534336
8;2097152;0.022458;23068672
8;4194304;0.048788;46137344
8;8388608;0.119349;92274688
8;16777216;0.24071;184549376
8;33554432;0.475618;369098752
8;67108864;0.725833;738197504
8;134217728;1.617401;1476395008
16;1;0.000399;1
16;2;0.000386;2
16;4;0.00034;4
16;8;0.000484;8
16;16;0.00036;16
16;32;0.000405;32
16;64;0.000515;64
16;128;0.000356;128
16;256;0.0005;256
16;512;0.000555;512
16;1024;0.001141;1024
16;2048;0.000451;2048
16;4096;0.000535;4096
16;8192;0.000559;8192
16;16384;0.000567;16384
16;32768;0.000881;32768
16;65536;0.001125;65536
16;131072;0.001696;131072
16;262144;0.003322;262144
16;524288;0.006286;524288
16;1048576;0.01858;1048576
16;2097152;0.042106;2097152
16;4194304;0.078149;4194304
16;8388608;0.18637;8388608
16;16777216;0.273206;16777216
16;33554432;0.437836;33554432
16;67108864;1.145315;67108864
16;134217728;2.421409;134217728
32;1;0.000572;3
32;2;0.011248;6
32;4;0.00091;12
32;8;0.000725;24
32;16;0.000796;48
32;32;0.000794;96
32;64;0.000555;192
32;128;0.000888;384
32;256;0.000527;768
32;512;0.000708;1536
32;1024;0.000765;3072
32;2048;0.000768;6144
32;4096;0.000847;12288
32;8192;0.000808;24576
32;16384;0.0009;49152
32;32768;0.001086;98304
32;65536;0.001672;196608
32;131072;0.001983;393216
32;262144;0.00393;786432
32;524288;0.008734;1572864
32;1048576;0.022356;3145728
