NP;SIZE;TIME;RESULT
4;1;0.000927;6
4;2;0.000838;12
4;4;0.000835;24
4;8;0.000865;48
4;16;0.000859;96
4;32;0.000839;192
4;64;0.000998;384
4;128;0.000906;768
4;256;0.000866;1536
4;512;0.000926;3072
4;1024;0.000846;6144
4;2048;0.000873;12288
4;4096;0.000953;24576
4;8192;0.000925;49152
4;16384;0.00097;98304
4;32768;0.001024;196608
4;65536;0.001241;393216
4;131072;0.001589;786432
4;262144;0.002188;1572864
4;524288;0.00303;3145728
4;1048576;0.006847;6291456
4;2097152;0.012519;12582912
4;4194304;0.02477;25165824
4;8388608;0.049826;50331648
4;16777216;0.102761;100663296
4;33554432;0.203226;201326592
4;67108864;0.390973;402653184
4;134217728;0.873073;805306368
8;1;0.000895;11
8;2;0.000915;22
8;4;0.000918;44
8;8;0.001008;88
8;16;0.00101;176
8;32;0.000891;352
8;64;0.00091;704
8;128;0.00089;1408
8;256;0.000897;2816
8;512;0.000946;5632
8;1024;0.001153;11264
8;2048;0.000961;22528
8;4096;0.000962;45056
8;8192;0.00103;90112
8;16384;0.001097;180224
8;32768;0.001343;360448
8;65536;0.00137;720896
8;131072;0.001847;1441792
8;262144;0.002878;2883584
8;524288;0.004088;5767168
8;1048576;0.009598;11534336
8;2097152;0.022801;23068672
8;4194304;0.038209;46137344
8;8388608;0.073871;92274688
8;16777216;0.145279;184549376
8;33554432;0.296191;369098752
8;67108864;0.598988;738197504
8;134217728;1.47958;1476395008
16;1;0.001003;1
16;2;0.000997;2
16;4;0.001034;4
16;8;0.001008;8
16;16;0.001064;16
16;32;0.001016;32
16;64;0.001097;64
16;128;0.001181;128
16;256;0.00109;256
16;512;0.001742;512
16;1024;0.001087;1024
16;2048;0.00114;2048
16;4096;0.001118;4096
16;8192;0.001125;8192
16;16384;0.001315;16384
16;32768;0.00165;32768
16;65536;0.001676;65536
16;131072;0.002163;131072
16;262144;0.003297;262144
16;524288;0.005696;524288
16;1048576;0.014817;1048576
16;2097152;0.02734;2097152
16;4194304;0.083149;4194304
16;8388608;0.102969;8388608
16;16777216;0.346861;16777216
16;33554432;0.663969;33554432
16;67108864;1.319515;67108864
16;134217728;1.784544;134217728
32;1;0.001572;3
32;2;0.001465;6
32;4;0.001247;12
32;8;0.001344;24
32;16;0.00127;48
32;32;0.00588;96
32;64;0.001275;192
32;128;0.002125;384
32;256;0.001323;768
32;512;0.00151;1536
32;1024;0.001467;3072
32;2048;0.022907;6144
32;4096;0.001517;12288
32;8192;0.001564;24576
32;16384;0.001578;49152
32;32768;0.00217;98304
32;65536;0.002171;196608
32;131072;0.002785;393216
32;262144;0.015352;786432
32;524288;0.008629;1572864
32;1048576;0.021237;3145728
32;2097152;0.048673;6291456
32;4194304;0.091739;12582912
32;8388608;0.204806;25165824
32;16777216;0.406706;50331648
32;33554432;0.761817;100663296
32;67108864;1.627652;201326592
32;134217728;2.867163;402653184
64;1;0.234704;10
64;2;0.058885;20
64;4;0.208805;40
64;8;0.196558;80
64;16;0.204501;160
64;32;0.120862;320
64;64;0.214805;640
64;128;0.197002;1280
64;256;0.047554;2560
64;512;0.05509;5120
64;1024;0.200708;10240
64;2048;0.209032;20480
64;4096;0.234282;40960
64;8192;0.057339;81920
64;16384;0.189146;163840
64;32768;0.06482;327680
64;65536;0.095719;655360
64;131072;0.078247;1310720
64;262144;0.021282;2621440
64;524288;0.041884;5242880
64;1048576;0.057585;10485760
64;2097152;0.240583;20971520
64;4194304;0.306348;41943040
64;8388608;0.314318;83886080
64;16777216;0.664227;167772160
64;33554432;1.391255;335544320
64;67108864;2.452498;671088640
64;134217728;5.160484;1342177280
4;1;0.000946;6
4;2;0.000859;12
4;4;0.000888;24
4;8;0.000887;48
4;16;0.000826;96
4;32;0.000969;192
4;64;0.000875;384
4;128;0.00102;768
4;256;0.001011;1536
4;512;0.000922;3072
4;1024;0.00085;6144
4;2048;0.000928;12288
4;4096;0.000864;24576
4;8192;0.000983;49152
4;16384;0.001039;98304
4;32768;0.001155;196608
4;65536;0.001195;393216
4;131072;0.001496;786432
4;262144;0.002067;1572864
4;524288;0.003169;3145728
4;1048576;0.005917;6291456
4;2097152;0.012138;12582912
4;4194304;0.024318;25165824
4;8388608;0.04441;50331648
4;16777216;0.098912;100663296
4;33554432;0.195554;201326592
4;67108864;0.407836;402653184
4;134217728;0.88129;805306368
8;1;0.000926;11
8;2;0.000906;22
8;4;0.000965;44
8;8;0.000988;88
8;16;0.000916;176
8;32;0.000922;352
8;64;0.001019;704
8;128;0.00097;1408
8;256;0.000959;2816
8;512;0.001127;5632
8;1024;0.000919;11264
8;2048;0.000978;22528
8;4096;0.001045;45056
8;8192;0.00104;90112
8;16384;0.001117;180224
8;32768;0.001155;360448
8;65536;0.001423;720896
8;131072;0.001621;1441792
8;262144;0.002752;2883584
8;524288;0.00416;5767168
8;1048576;0.010621;11534336
8;2097152;0.020928;23068672
8;4194304;0.046046;46137344
8;8388608;0.092487;92274688
8;16777216;0.180109;184549376
8;33554432;0.3473;369098752
8;67108864;0.695226;738197504
8;134217728;1.143193;1476395008
16;1;0.00101;1
16;2;0.001125;2
16;4;0.00113;4
16;8;0.001081;8
16;16;0.001075;16
16;32;0.007507;32
16;64;0.00112;64
16;128;0.00107;128
16;256;0.001102;256
16;512;0.001035;512
16;1024;0.001125;1024
16;2048;0.001117;2048
16;4096;0.001084;4096
16;8192;0.001133;8192
16;16384;0.001279;16384
16;32768;0.001451;32768
16;65536;0.001772;65536
16;131072;0.00219;131072
16;262144;0.003206;262144
16;524288;0.006168;524288
16;1048576;0.01184;1048576
16;2097152;0.036058;2097152
16;4194304;0.072657;4194304
16;8388608;0.178737;8388608
16;16777216;0.29878;16777216
16;33554432;0.528317;33554432
16;67108864;1.402352;67108864
16;134217728;2.026226;134217728
32;1;0.001313;3
32;2;0.00133;6
32;4;0.001674;12
32;8;0.001538;24
32;16;0.005754;48
32;32;0.001257;96
32;64;0.007208;192
32;128;0.006525;384
32;256;0.008229;768
32;512;0.001383;1536
32;1024;0.001601;3072
32;2048;0.001412;6144
32;4096;0.0014;12288
32;8192;0.001493;24576
32;16384;0.001753;49152
32;32768;0.001771;98304
32;65536;0.00213;196608
32;131072;0.01111;393216
32;262144;0.004918;786432
32;524288;0.010116;1572864
32;1048576;0.023026;3145728
32;2097152;0.049997;6291456
32;4194304;0.103099;12582912
