NP;SIZE;TIME;RESULT
4;1;0.000319;6
4;2;0.000299;12
4;4;0.00038;24
4;8;0.000312;48
4;16;0.000381;96
4;32;0.000308;192
4;64;0.000297;384
4;128;0.000324;768
4;256;0.000298;1536
4;512;0.00035;3072
4;1024;0.000313;6144
4;2048;0.000471;12288
4;4096;0.000454;24576
4;8192;0.000427;49152
4;16384;0.000446;98304
4;32768;0.000649;196608
4;65536;0.000709;393216
4;131072;0.001143;786432
4;262144;0.001879;1572864
4;524288;0.003583;3145728
4;1048576;0.007282;6291456
4;2097152;0.01621;12582912
4;4194304;0.033961;25165824
4;8388608;0.071531;50331648
4;16777216;0.138838;100663296
4;33554432;0.259407;201326592
4;67108864;0.513015;402653184
4;134217728;1.044088;805306368
8;1;0.000458;11
8;2;0.000383;22
8;4;0.000318;44
8;8;0.00038;88
8;16;0.000367;176
8;32;0.000317;352
8;64;0.000311;704
8;128;0.00036;1408
8;256;0.000424;2816
8;512;0.000362;5632
8;1024;0.000428;11264
8;2048;0.000378;22528
8;4096;0.000401;45056
8;8192;0.000444;90112
8;16384;0.000573;180224
8;32768;0.000696;360448
8;65536;0.000883;720896
8;131072;0.001478;1441792
8;262144;0.002804;2883584
8;524288;0.00509;5767168
8;1048576;0.013026;11534336
8;2097152;0.027376;23068672
8;4194304;0.05383;46137344
8;8388608;0.111513;92274688
8;16777216;0.221829;184549376
8;33554432;0.422524;369098752
8;67108864;0.752885;738197504
8;134217728;1.40484;1476395008
16;1;0.00045;1
16;2;0.000428;2
16;4;0.000462;4
16;8;0.000592;8
16;16;0.000436;16
16;32;0.000556;32
16;64;0.00042;64
16;128;0.000462;128
16;256;0.000475;256
16;512;0.000501;512
16;1024;0.000505;1024
16;2048;0.000574;2048
16;4096;0.000488;4096
16;8192;0.002075;8192
16;16384;0.000645;16384
16;32768;0.000958;32768
16;65536;0.001099;65536
16;131072;0.001811;131072
16;262144;0.00322;262144
16;524288;0.005991;524288
16;1048576;0.015553;1048576
16;2097152;0.031632;2097152
16;4194304;0.06983;4194304
16;8388608;0.128144;8388608
16;16777216;0.294448;16777216
16;33554432;0.607786;33554432
16;67108864;1.04254;67108864
16;134217728;2.463535;134217728
32;1;0.000798;3
32;2;0.000796;6
32;4;0.000469;12
32;8;0.002271;24
32;16;0.000535;48
32;32;0.000503;96
32;64;0.000476;192
32;128;0.000554;384
32;256;0.000664;768
32;512;0.000529;1536
32;1024;0.000586;3072
32;2048;0.000742;6144
32;4096;0.001453;12288
32;8192;0.00062;24576
32;16384;0.000925;49152
32;32768;0.001026;98304
32;65536;0.00147;196608
32;131072;0.002321;393216
32;262144;0.00415;786432
32;524288;0.009897;1572864
32;1048576;0.02642;3145728
32;2097152;0.055539;6291456
32;4194304;0.134109;12582912
32;8388608;0.238046;25165824
32;16777216;0.499876;50331648
32;33554432;0.966381;100663296
32;67108864;1.798817;201326592
32;134217728;3.608067;402653184
64;1;0.034393;10
64;2;0.014992;20
64;4;0.011412;40
64;8;0.024963;80
64;16;0.026001;160
64;32;0.043339;320
64;64;0.02418;640
64;128;0.040063;1280
64;256;0.028509;2560
64;512;0.04816;5120
64;1024;0.055399;10240
64;2048;0.061707;20480
64;4096;0.063742;40960
64;8192;0.011817;81920
64;16384;0.026338;163840
64;32768;0.048334;327680
64;65536;0.026791;655360
64;131072;0.018345;1310720
64;262144;0.046618;2621440
64;524288;0.046154;5242880
64;1048576;0.055033;10485760
64;2097152;0.120763;20971520
64;4194304;0.172571;41943040
64;8388608;0.354745;83886080
64;16777216;0.744759;167772160
64;33554432;1.319619;335544320
64;67108864;2.671637;671088640
64;134217728;5.328676;1342177280
4;1;0.000307;6
4;2;0.000338;12
4;4;0.000379;24
4;8;0.000322;48
4;16;0.000317;96
4;32;0.000431;192
4;64;0.000368;384
4;128;0.000413;768
4;256;0.000314;1536
4;512;0.000355;3072
4;1024;0.000316;6144
4;2048;0.000345;12288
4;4096;0.000344;24576
4;8192;0.000477;49152
4;16384;0.000431;98304
4;32768;0.000685;196608
4;65536;0.000877;393216
4;131072;0.000999;786432
4;262144;0.00179;1572864
4;524288;0.003684;3145728
4;1048576;0.008221;6291456
4;2097152;0.016779;12582912
4;4194304;0.034357;25165824
4;8388608;0.068246;50331648
4;16777216;0.142893;100663296
4;33554432;0.268022;201326592
4;67108864;0.510686;402653184
4;134217728;1.088203;805306368
8;1;0.000421;11
8;2;0.000472;22
8;4;0.000341;44
8;8;0.000319;88
8;16;0.000334;176
8;32;0.000404;352
8;64;0.000461;704
8;128;0.000428;1408
8;256;0.000363;2816
8;512;0.000326;5632
8;1024;0.000457;11264
8;2048;0.000499;22528
8;4096;0.000538;45056
8;8192;0.000449;90112
8;16384;0.000605;180224
8;32768;0.000632;360448
8;65536;0.001035;720896
8;131072;0.001178;1441792
8;262144;0.002666;2883584
8;524288;0.004933;5767168
8;1048576;0.010436;11534336
8;2097152;0.028725;23068672
8;4194304;0.056295;46137344
8;8388608;0.10017;92274688
8;16777216;0.20939;184549376
8;33554432;0.463002;369098752
8;67108864;0.803904;738197504
8;134217728;1.647558;1476395008
16;1;0.000563;1
16;2;0.000442;2
16;4;0.000412;4
16;8;0.000367;8
16;16;0.000356;16
16;32;0.000528;32
16;64;0.000371;64
16;128;0.000415;128
16;256;0.00041;256
16;512;0.000469;512
16;1024;0.00044;1024
16;2048;0.000607;2048
16;4096;0.000499;4096
16;8192;0.009563;8192
16;16384;0.000601;16384
16;32768;0.000788;32768
16;65536;0.001231;65536
16;131072;0.001855;131072
16;262144;0.00316;262144
16;524288;0.006567;524288
16;1048576;0.017283;1048576
16;2097152;0.031636;2097152
16;4194304;0.070842;4194304
16;8388608;0.129412;8388608
16;16777216;0.258739;16777216
16;33554432;0.627781;33554432
16;67108864;1.427391;67108864
16;134217728;2.810099;134217728
32;1;0.0006;3
32;2;0.000609;6
32;4;0.00051;12
32;8;0.000488;24
32;16;0.000539;48
32;32;0.000488;96
32;64;0.000688;192
32;128;0.00084;384
32;256;0.000938;768
32;512;0.000454;1536
32;1024;0.00094;3072
32;2048;0.000509;6144
32;4096;0.000612;12288
32;8192;0.001037;24576
32;16384;0.000728;49152
32;32768;0.001021;98304
32;65536;0.001367;196608
32;131072;0.004774;393216
32;262144;0.003614;786432
32;524288;0.009294;1572864
32;1048576;0.020055;3145728
32;2097152;0.059941;6291456
32;4194304;0.093859;12582912
32;8388608;0.211297;25165824
32;16777216;0.401798;50331648
32;33554432;0.83141;100663296
32;67108864;1.776639;201326592
32;134217728;2.854095;402653184
64;1;0.037548;10
64;2;0.026899;20
64;4;0.03716;40
64;8;0.028955;80
64;16;0.012455;160
64;32;0.024955;320
64;64;0.027384;640
64;128;0.027427;1280
64;256;0.030153;2560
64;512;0.02408;5120
64;1024;0.064358;10240
64;2048;0.025524;20480
64;4096;0.026405;40960
64;8192;0.026759;81920
64;16384;0.011557;163840
64;32768;0.014448;327680
64;65536;0.066346;655360
64;131072;0.027519;1310720
64;262144;0.018633;2621440
64;524288;0.022364;5242880
64;1048576;0.055877;10485760
64;2097152;0.084665;20971520
64;4194304;0.178205;41943040
64;8388608;0.361029;83886080
64;16777216;0.669761;167772160
64;33554432;1.33;335544320
64;67108864;2.670636;671088640
64;134217728;5.310164;1342177280
4;1;0.000296;6
4;2;0.000313;12
4;4;0.000386;24
4;8;0.000305;48
4;16;0.000358;96
4;32;0.000364;192
4;64;0.000421;384
4;128;0.000443;768
4;256;0.000314;1536
4;512;0.000321;3072
4;1024;0.000378;6144
4;2048;0.000367;12288
4;4096;0.000485;24576
4;8192;0.000494;49152
4;16384;0.000546;98304
4;32768;0.000687;196608
4;65536;0.000813;393216
4;131072;0.001026;786432
4;262144;0.001851;1572864
4;524288;0.003489;3145728
4;1048576;0.007642;6291456
4;2097152;0.015912;12582912
4;4194304;0.035156;25165824
4;8388608;0.067942;50331648
4;16777216;0.136418;100663296
4;33554432;0.278941;201326592
4;67108864;0.61848;402653184
4;134217728;1.155656;805306368
8;1;0.000449;11
8;2;0.00045;22
8;4;0.000349;44
8;8;0.000376;88
8;16;0.00032;176
8;32;0.000343;352
8;64;0.000363;704
8;128;0.000318;1408
8;256;0.00035;2816
8;512;0.000444;5632
8;1024;0.000457;11264
8;2048;0.000396;22528
8;4096;0.000438;45056
8;8192;0.00057;90112
8;16384;0.000624;180224
8;32768;0.000695;360448
8;65536;0.000929;720896
8;131072;0.001405;1441792
8;262144;0.00221;2883584
8;524288;0.004892;5767168
8;1048576;0.009735;11534336
8;2097152;0.022503;23068672
8;4194304;0.058303;46137344
8;8388608;0.120151;92274688
8;16777216;0.205698;184549376
8;33554432;0.474519;369098752
8;67108864;0.88606;738197504
8;134217728;1.659185;1476395008
16;1;0.000537;1
16;2;0.000435;2
16;4;0.000525;4
16;8;0.000505;8
16;16;0.000371;16
16;32;0.00041;32
16;64;0.000534;64
16;128;0.000398;128
16;256;0.000396;256
16;512;0.000575;512
16;1024;0.000488;1024
16;2048;0.000611;2048
16;4096;0.000555;4096
