N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
4;1.7;214205409;0;1.231151;False;False;False;True
4;2.2;214205409;1;1.217883;False;False;False;True
4;1.7;214205409;4;2.238;False;False;True;True
4;2.2;214205409;1;1.208158;False;False;False;True
4;1.7;214205409;4;2.24;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;1.5;214205409;4;2.039;False;False;True;True
4;1.7;214205409;0;1.209571;False;False;False;True
4;1.5;214205409;4;2.039;False;False;True;True
4;1.5;214205409;4;2.038;False;False;True;True
4;2.0;214205409;4;2.538;False;False;True;True
4;2.0;214205409;4;2.538;False;False;True;True
4;1.7;214205409;4;2.236;False;False;True;True
4;2.0;214205409;0;1.214516;False;False;False;True
4;1.7;214205409;4;2.235;False;False;True;True
4;1.7;214205409;4;2.239;False;False;True;True
4;2.2;214205409;1;1.210752;False;False;False;True
4;2.0;214205409;4;2.538;False;False;True;True
4;2.2;214205409;0;1.202633;False;False;False;True
4;1.5;214205409;0;1.203006;False;False;False;True
4;1.5;214205409;4;2.037;False;False;True;True
4;2.0;214205409;4;2.539;False;False;True;True
4;2.2;214205409;1;1.20022;False;False;False;True
4;1.7;214205409;4;2.238;False;False;True;True
4;1.5;214205409;4;2.038;False;False;True;True
4;1.2;214205409;4;1.909;False;False;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;2.0;214205409;0;1.208426;False;False;False;True
4;1.7;214205409;4;2.237;False;False;True;True
4;1.2;214205409;0;1.212106;False;False;False;True
4;2.2;214205409;1;1.19671;False;False;False;True
4;2.2;214205409;1;1.214979;False;False;False;True
4;1.5;214205409;4;2.038;False;False;True;True
4;2.2;214205409;1;1.210487;False;False;False;True
4;1.2;214205409;4;1.919;False;False;True;True
4;2.2;214205409;1;1.149335;False;False;False;True
4;1.5;214205409;4;2.037;False;False;True;True
4;1.5;214205409;4;2.038;False;False;True;True
4;2.2;214205409;1;1.207899;False;False;False;True
4;1.5;214205409;4;2.035;False;False;True;True
4;1.5;214205409;0;1.213825;False;False;False;True
4;1.5;214205409;4;2.037;False;False;True;True
4;1.7;214205409;4;2.236;False;False;True;True
4;1.2;214205409;4;1.906;False;False;True;True
4;1.7;214205409;4;2.237;False;False;True;True
4;2.2;214205409;1;1.217955;False;False;False;True
4;1.5;214205409;4;2.038;False;False;True;True
4;1.7;214205409;4;2.239;False;False;True;True
4;1.2;214205409;4;1.932;False;False;True;True
4;1.7;214205409;4;2.237;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;2.2;214205409;1;1.213299;False;False;False;True
4;1.7;214205409;4;2.237;False;False;True;True
4;1.7;214205409;4;2.236;False;False;True;True
4;2.0;214205409;4;2.537;False;False;True;True
4;1.2;214205409;4;1.911;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;2.0;214205409;4;2.536;False;True;True;True
4;2.2;214205409;1;1.208164;False;False;False;True
4;2.0;214205409;4;2.536;False;False;True;True
4;2.0;214205409;4;2.538;False;True;True;True
4;2.2;214205409;0;1.204213;False;False;False;True
4;1.5;214205409;4;2.036;False;False;True;True
4;1.2;214205409;4;1.907;False;False;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;1.5;214205409;0;1.197047;False;False;False;True
4;1.7;214205409;4;2.236;False;False;True;True
4;1.2;214205409;4;1.923;False;False;True;True
4;1.2;214205409;0;1.217499;False;False;False;True
4;2.2;214205409;1;1.207284;False;False;False;True
4;2.0;214205409;4;2.535;False;False;True;True
4;1.2;214205409;4;1.917;False;False;True;True
4;1.5;214205409;0;1.20751;False;False;False;True
4;1.7;214205409;4;2.236;False;False;True;True
4;2.2;214205409;1;1.203354;False;False;False;True
4;2.2;214205409;1;1.227475;False;False;False;True
4;1.5;214205409;4;2.035;False;False;True;True
4;2.0;214205409;4;2.536;False;True;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;1.5;214205409;4;2.036;False;False;True;True
4;2.2;214205409;0;1.20664;False;False;False;True
4;2.2;214205409;1;1.205827;False;False;False;True
4;2.0;214205409;0;1.206714;False;False;False;True
4;1.7;214205409;4;2.238;False;False;True;True
4;1.2;214205409;4;1.907;False;False;True;True
4;1.2;214205409;4;1.946;False;False;True;True
4;1.7;214205409;4;2.236;False;False;True;True
4;1.7;214205409;4;2.239;False;False;True;True
4;2.0;214205409;4;2.539;False;False;True;True
4;1.7;214205409;4;2.237;False;False;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;1.7;214205409;4;2.237;False;False;True;True
4;1.2;214205409;4;1.917;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;1.7;214205409;4;2.236;False;False;True;True
4;1.7;214205409;0;1.203139;False;False;False;True
4;1.5;214205409;0;1.206344;False;False;False;True
4;1.7;214205409;4;2.239;False;False;True;True
4;1.2;214205409;4;1.913;False;False;True;True
4;1.7;214205409;4;2.237;False;False;True;True
4;1.2;214205409;4;1.937;False;False;True;True
4;1.2;214205409;4;1.911;False;False;True;True
4;2.0;214205409;4;2.538;False;False;True;True
4;2.2;214205409;1;1.197973;False;False;False;True
4;2.0;214205409;4;2.536;False;False;True;True
4;1.7;214205409;4;2.237;False;False;True;True
4;2.2;214205409;1;1.197669;False;False;False;True
4;2.0;214205409;4;2.537;False;False;True;True
4;2.0;214205409;4;2.535;False;False;True;True
4;2.2;214205409;1;1.211207;False;False;False;True
4;1.7;214205409;4;2.235;False;False;True;True
4;1.5;214205409;4;2.036;False;False;True;True
4;2.0;214205409;4;2.537;False;True;True;True
4;2.2;214205409;0;1.215655;False;False;False;True
4;2.2;214205409;0;1.206581;False;False;False;True
4;1.7;214205409;4;2.236;False;False;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;1.5;214205409;0;1.207819;False;False;False;True
4;1.5;214205409;0;1.204254;False;False;False;True
4;1.7;214205409;4;2.237;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;2.2;214205409;1;1.198441;False;False;False;True
4;2.0;214205409;4;2.536;False;False;True;True
4;2.2;214205409;0;1.19102;False;False;False;True
4;2.0;214205409;4;2.536;False;False;True;True
4;2.2;214205409;0;1.199144;False;False;False;True
4;2.0;214205409;4;2.537;False;False;True;True
4;1.2;214205409;4;1.905;False;False;True;True
4;1.7;214205409;4;2.236;False;False;True;True
4;2.0;214205409;4;2.537;False;False;True;True
4;1.7;214205409;4;2.238;False;False;True;True
4;1.5;214205409;4;2.035;False;False;True;True
4;2.0;214205409;0;1.21921;False;False;False;True
4;2.0;214205409;0;1.213265;False;False;False;True
4;1.5;214205409;4;2.038;False;False;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;1.2;214205409;0;1.222851;False;False;False;True
4;1.7;214205409;4;2.238;False;False;True;True
4;2.2;214205409;1;1.202815;False;False;False;True
4;1.7;214205409;4;2.236;False;False;True;True
4;1.2;214205409;0;1.14896;False;False;False;True
4;1.2;214205409;4;1.917;False;False;True;True
4;2.0;214205409;4;2.537;False;False;True;True
4;1.7;214205409;0;1.238088;False;False;False;True
4;1.7;214205409;4;2.237;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;1.5;214205409;4;2.038;False;False;True;True
4;2.2;214205409;1;1.196306;False;False;False;True
4;1.2;214205409;4;1.918;False;False;True;True
4;1.7;214205409;4;2.239;False;False;True;True
4;1.7;214205409;4;2.237;False;False;True;True
4;2.0;214205409;4;2.537;False;False;True;True
4;2.2;214205409;1;1.214003;False;False;False;True
4;2.0;214205409;4;2.536;False;False;True;True
4;1.5;214205409;0;1.201714;False;False;False;True
4;2.2;214205409;1;1.223311;False;False;False;True
4;2.2;214205409;1;1.215167;False;False;False;True
4;1.7;214205409;4;2.237;False;False;True;True
4;2.2;214205409;1;1.198916;False;False;False;True
4;1.5;214205409;4;2.037;False;False;True;True
4;1.5;214205409;4;2.036;False;False;True;True
4;1.7;214205409;4;2.238;False;False;True;True
4;1.2;214205409;4;1.914;False;False;True;True
4;2.0;214205409;4;2.536;False;False;True;True
4;1.5;214205409;4;2.036;False;False;True;True
4;1.5;214205409;4;2.036;False;False;True;True
4;1.7;214205409;4;2.236;False;False;True;True
4;2.2;214205409;1;1.221082;False;False;False;True
4;2.2;214205409;1;1.211492;False;False;False;True
4;2.0;214205409;0;1.20998;False;False;False;True
4;2.2;214205409;1;1.215129;False;False;False;True
4;2.2;214205409;1;1.16933;False;False;False;True
4;1.2;214205409;4;1.929;False;False;True;True
4;1.2;214205409;0;1.216232;False;False;False;True
4;1.5;214205409;4;2.036;False;False;True;True
4;1.5;214205409;4;2.038;False;False;True;True
4;2.2;214205409;1;1.204829;False;False;False;True
4;1.2;214205409;4;1.896;False;False;True;True
4;1.2;214205409;4;1.897;False;False;True;True
4;2.0;214205409;4;2.537;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;1.5;214205409;4;2.038;False;False;True;True
4;2.2;214205409;1;1.220418;False;False;False;True
4;2.2;214205409;1;1.218348;False;False;False;True
4;1.7;214205409;4;2.237;False;False;True;True
4;2.2;214205409;1;1.207369;False;False;False;True
4;1.2;214205409;4;1.89;False;False;True;True
4;1.2;214205409;4;1.896;False;False;True;True
4;2.2;214205409;1;1.213028;False;False;False;True
4;2.0;214205409;4;2.536;False;False;True;True
4;2.0;214205409;4;2.537;False;False;True;True
4;2.2;214205409;1;1.209177;False;False;False;True
4;1.5;214205409;0;1.213993;False;False;False;True
4;2.2;214205409;0;1.199945;False;False;False;True
4;2.2;214205409;1;1.192229;False;False;False;True
4;1.2;214205409;4;1.927;False;False;True;True
4;2.2;214205409;1;1.210189;False;False;False;True
4;1.5;214205409;4;2.036;False;False;True;True
4;2.2;214205409;1;1.191366;False;False;False;True
4;1.2;214205409;4;1.918;False;False;True;True
4;2.0;214205409;4;2.537;False;False;True;True
4;2.2;214205409;1;1.211648;False;False;False;True
4;2.2;214205409;1;1.203616;False;False;False;True
4;2.0;214205409;4;2.537;False;False;True;True
4;2.0;214205409;4;2.537;False;True;True;True
4;1.2;214205409;0;1.207049;False;False;False;True
4;1.5;214205409;4;2.036;False;False;True;True
4;2.2;214205409;1;1.149283;False;False;False;True
4;2.2;214205409;1;1.206758;False;False;False;True
4;2.0;214205409;4;2.535;False;False;True;True
4;2.2;214205409;0;1.189642;False;False;False;True
4;2.0;214205409;0;1.21193;False;False;False;True
4;1.7;214205409;4;2.238;False;False;True;True
4;1.7;214205409;4;2.237;False;False;True;True
4;2.2;214205409;1;1.216979;False;False;False;True
4;2.0;214205409;4;2.537;False;False;True;True
4;2.2;214205409;1;1.161313;False;False;False;True
4;1.5;214205409;4;2.037;False;False;True;True
4;2.0;214205409;4;2.538;False;False;True;True
4;1.7;214205409;4;2.238;False;False;True;True
4;2.2;214205409;1;1.210309;False;False;False;True
4;1.5;214205409;4;2.036;False;False;True;True
4;1.2;214205409;4;1.916;False;False;True;True
4;2.2;214205409;1;1.209911;False;False;False;True
4;1.5;214205409;0;1.217755;False;False;False;True
4;2.0;214205409;4;2.539;False;False;True;True
4;2.0;214205409;0;1.208311;False;False;False;True
4;2.2;214205409;1;1.214057;False;False;False;True
4;1.2;214205409;4;1.897;False;False;True;True
4;1.5;214205409;0;1.215393;False;False;False;True
4;1.2;214205409;4;1.913;False;False;True;True
4;1.2;214205409;4;1.926;False;False;True;True
4;1.2;214205409;4;1.919;False;False;True;True
4;1.7;214205409;4;2.236;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;1.5;214205409;4;2.037;False;False;True;True
4;1.7;214205409;4;2.237;False;False;True;True
4;2.0;214205409;4;2.539;False;False;True;True
4;1.7;214205409;0;1.209393;False;False;False;True
4;2.0;214205409;4;2.538;False;False;True;True
4;1.2;214205409;4;1.922;False;False;True;True
4;1.7;214205409;4;2.236;False;False;True;True
4;2.0;214205409;4;2.537;False;False;True;True
4;1.5;214205409;4;2.038;False;False;True;True
4;2.2;214205409;1;1.215766;False;False;False;True
4;2.2;214205409;1;1.216641;False;False;False;True
6;1.5;124205409;0;1.098607;False;False;False;True
6;2.0;124205409;1;1.133681;False;False;False;True
6;1.5;124205409;0;1.12026;False;False;False;True
6;1.7;124205409;6;2.238;False;False;True;True
6;2.0;124205409;1;1.123309;False;False;False;True
6;2.0;124205409;1;1.13637;False;False;False;True
6;1.7;124205409;6;2.238;False;False;True;True
6;2.2;124205409;0;1.113292;False;False;False;True
6;1.2;124205409;6;1.735;False;False;True;True
6;1.7;124205409;6;2.239;False;False;True;True
6;2.0;124205409;1;1.107159;False;False;False;True
6;2.0;124205409;1;1.120221;False;False;False;True
6;1.7;124205409;0;1.129526;False;False;False;True
6;1.5;124205409;6;31.07;True;False;False;True
6;1.2;124205409;6;1.738;False;False;True;True
6;1.7;124205409;6;2.238;False;False;True;True
6;1.2;124205409;6;1.737;False;False;True;True
6;2.0;124205409;0;1.111894;False;False;False;True
6;2.2;124205409;0;1.117685;False;False;False;True
6;1.7;124205409;6;2.237;False;False;True;True
6;1.5;124205409;6;31.066;True;False;False;True
6;2.2;124205409;0;1.096611;False;False;False;True
6;2.2;124205409;0;1.120109;False;False;False;True
6;1.2;124205409;6;1.737;False;False;True;True
6;1.5;124205409;6;31.082;True;False;False;True
6;2.2;124205409;0;1.094592;False;False;False;True
6;2.0;124205409;1;1.10421;False;False;False;True
6;1.7;124205409;6;2.237;False;False;True;True
6;1.5;124205409;6;2.036;False;False;True;True
6;2.0;124205409;1;1.113229;False;False;False;True
6;1.7;124205409;0;1.102704;False;False;False;True
6;2.0;124205409;1;1.122162;False;False;False;True
6;1.5;124205409;6;31.067;True;False;False;True
6;2.0;124205409;1;1.121836;False;False;False;True
6;2.2;124205409;0;1.131814;False;False;False;True
6;2.2;124205409;0;1.130567;False;False;False;True
6;1.7;124205409;6;2.238;False;False;True;True
6;1.5;124205409;6;31.081;True;False;False;True
6;2.0;124205409;1;1.104633;False;False;False;True
6;2.2;124205409;0;1.113266;False;False;False;True
6;1.5;124205409;6;31.075;True;False;False;True
6;1.7;124205409;6;2.238;False;False;True;True
6;1.7;124205409;6;2.238;False;False;True;True
6;2.2;124205409;0;1.115929;False;False;False;True
6;1.7;124205409;6;2.237;False;False;True;True
6;2.0;124205409;1;1.116323;False;False;False;True
6;1.2;124205409;6;1.738;False;False;True;True
6;2.0;124205409;1;1.134063;False;False;False;True
6;2.2;124205409;0;1.126711;False;False;False;True
6;2.0;124205409;1;1.131212;False;False;False;True
6;1.7;124205409;6;2.238;False;False;True;True
6;2.0;124205409;1;1.10479;False;False;False;True
6;2.2;124205409;0;1.131573;False;False;False;True
6;1.2;124205409;6;1.737;False;False;True;True
6;2.0;124205409;0;1.095115;False;False;False;True
6;1.5;124205409;6;2.037;False;False;True;True
6;1.2;124205409;0;1.10076;False;False;False;True
6;1.5;124205409;6;2.038;False;False;True;True
6;1.2;124205409;0;1.12618;False;False;False;True
6;2.0;124205409;1;1.117495;False;False;False;True
6;2.2;124205409;0;1.118215;False;False;False;True
6;2.2;124205409;0;1.124681;False;False;False;True
6;2.2;124205409;0;1.132591;False;False;False;True
6;2.0;124205409;0;1.097266;False;False;False;True
6;1.5;124205409;6;2.038;False;False;True;True
6;1.7;124205409;6;2.237;False;False;True;True
6;2.0;124205409;1;1.124296;False;False;False;True
6;2.2;124205409;0;1.121556;False;False;False;True
6;1.2;124205409;6;1.736;False;False;True;True
6;1.7;124205409;6;2.238;False;False;True;True
6;1.2;124205409;6;1.737;False;False;True;True
6;2.2;124205409;0;1.127302;False;False;False;True
6;2.0;124205409;1;1.133704;False;False;False;True
6;1.5;124205409;6;2.038;False;False;True;True
6;1.2;124205409;0;1.123043;False;False;False;True
6;1.7;124205409;6;2.238;False;False;True;True
6;1.2;124205409;6;1.739;False;False;True;True
6;2.0;124205409;1;1.09336;False;False;False;True
6;2.0;124205409;1;1.111652;False;False;False;True
6;2.0;124205409;0;1.111591;False;False;False;True
6;1.2;124205409;6;1.737;False;False;True;True
6;1.5;124205409;6;31.08;True;False;False;True
6;1.5;124205409;6;31.07;True;False;False;True
6;2.2;124205409;0;1.112019;False;False;False;True
6;1.5;124205409;6;31.073;True;False;False;True
6;2.2;124205409;0;1.122883;False;False;False;True
6;2.0;124205409;1;1.108693;False;False;False;True
6;2.0;124205409;1;1.122669;False;False;False;True
