N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
4;1.0;214205409;0;1.210637;False;False;False;True
4;1.7;214205409;0;1.203139;False;False;False;True
4;2.2;214205409;0;1.202633;False;False;False;True
4;1.5;214205409;0;1.217755;False;False;False;True
4;2.2;214205409;0;1.199945;False;False;False;True
4;2.0;214205409;0;1.20998;False;False;False;True
4;2.2;214205409;0;1.206581;False;False;False;True
4;2.0;214205409;0;1.206714;False;False;False;True
4;1.0;214205409;0;1.202575;False;False;False;True
4;1.5;214205409;0;1.20751;False;False;False;True
4;1.7;214205409;0;1.230859;False;False;False;True
4;2.2;214205409;0;1.221528;False;False;False;True
4;1.5;214205409;0;1.203006;False;False;False;True
4;1.2;214205409;0;1.204703;False;False;False;True
4;2.2;214205409;0;1.168699;False;False;False;True
4;1.5;214205409;0;1.201714;False;False;False;True
4;1.2;214205409;0;1.216232;False;False;False;True
4;1.0;214205409;0;1.195087;False;False;False;True
4;1.5;214205409;0;1.230734;False;False;False;True
4;1.2;214205409;0;1.14896;False;False;False;True
4;0.8;214205409;0;1.192014;False;False;False;True
4;2.2;214205409;0;1.212979;False;False;False;True
4;1.5;214205409;0;1.202998;False;False;False;True
4;1.7;214205409;0;1.201113;False;False;False;True
4;1.7;214205409;0;1.231151;False;False;False;True
4;2.2;214205409;0;1.19102;False;False;False;True
4;1.5;214205409;0;1.191257;False;False;False;True
4;1.0;214205409;0;1.202844;False;False;False;True
4;2.2;214205409;0;1.199144;False;False;False;True
4;1.5;214205409;0;1.21979;False;False;False;True
4;1.5;214205409;0;1.197047;False;False;False;True
4;1.2;214205409;0;1.217171;False;False;False;True
4;1.0;214205409;0;1.20445;False;False;False;True
4;1.0;214205409;0;1.208834;False;False;False;True
4;1.2;214205409;0;1.212106;False;False;False;True
4;2.0;214205409;0;1.208426;False;False;False;True
4;1.2;214205409;0;1.222851;False;False;False;True
4;2.2;214205409;0;1.195987;False;False;False;True
4;2.0;214205409;0;1.21921;False;False;False;True
4;2.2;214205409;0;1.201671;False;False;False;True
4;1.7;214205409;0;1.209393;False;False;False;True
4;2.2;214205409;0;1.215655;False;False;False;True
4;2.0;214205409;0;1.214516;False;False;False;True
4;1.5;214205409;0;1.195433;False;False;False;True
4;2.0;214205409;0;1.21193;False;False;False;True
4;1.5;214205409;0;1.213825;False;False;False;True
4;0.8;214205409;0;1.21927;False;False;False;True
4;1.2;214205409;0;1.210126;False;False;False;True
4;0.8;214205409;0;1.210454;False;False;False;True
4;1.5;214205409;0;1.207819;False;False;False;True
4;2.2;214205409;1;1.203616;False;False;False;True
4;2.2;214205409;1;1.211648;False;False;False;True
4;2.2;214205409;1;1.223311;False;False;False;True
4;2.2;214205409;1;1.192229;False;False;False;True
4;2.2;214205409;1;1.207284;False;False;False;True
4;2.2;214205409;1;1.19671;False;False;False;True
4;2.2;214205409;1;1.210752;False;False;False;True
4;2.2;214205409;1;1.206758;False;False;False;True
4;2.2;214205409;1;1.227475;False;False;False;True
4;2.2;214205409;1;1.211207;False;False;False;True
4;2.2;214205409;1;1.214979;False;False;False;True
4;2.2;214205409;1;1.149283;False;False;False;True
4;2.2;214205409;1;1.210487;False;False;False;True
4;2.2;214205409;1;1.215167;False;False;False;True
4;2.2;214205409;1;1.197669;False;False;False;True
4;2.2;214205409;1;1.16933;False;False;False;True
4;2.2;214205409;1;1.214057;False;False;False;True
4;2.2;214205409;1;1.213299;False;False;False;True
4;2.2;214205409;1;1.207369;False;False;False;True
4;2.2;214205409;1;1.208164;False;False;False;True
4;2.2;214205409;1;1.210189;False;False;False;True
4;2.2;214205409;1;1.196306;False;False;False;True
4;2.2;214205409;1;1.207899;False;False;False;True
4;2.2;214205409;1;1.214003;False;False;False;True
4;2.2;214205409;1;1.215129;False;False;False;True
4;2.2;214205409;1;1.202815;False;False;False;True
4;2.2;214205409;1;1.216979;False;False;False;True
4;2.2;214205409;1;1.198441;False;False;False;True
4;2.2;214205409;1;1.209911;False;False;False;True
4;2.2;214205409;1;1.215766;False;False;False;True
4;2.2;214205409;1;1.209177;False;False;False;True
4;2.2;214205409;1;1.149335;False;False;False;True
4;2.2;214205409;1;1.198916;False;False;False;True
4;2.2;214205409;1;1.191366;False;False;False;True
4;2.2;214205409;1;1.210309;False;False;False;True
4;2.2;214205409;1;1.161313;False;False;False;True
4;2.2;214205409;1;1.218348;False;False;False;True
4;2.2;214205409;1;1.204829;False;False;False;True
4;2.2;214205409;1;1.211492;False;False;False;True
4;2.2;214205409;1;1.20022;False;False;False;True
4;2.2;214205409;1;1.221082;False;False;False;True
4;2.2;214205409;1;1.217883;False;False;False;True
4;2.2;214205409;1;1.203354;False;False;False;True
4;2.2;214205409;1;1.213028;False;False;False;True
4;2.2;214205409;1;1.205827;False;False;False;True
4;2.2;214205409;1;1.220418;False;False;False;True
4;2.2;214205409;1;1.216641;False;False;False;True
4;2.2;214205409;1;1.208158;False;False;False;True
4;2.2;214205409;1;1.217955;False;False;False;True
4;2.2;214205409;1;1.197973;False;False;False;True
6;2.0;124205409;0;1.124594;False;False;False;True
6;2.2;124205409;0;1.126711;False;False;False;True
6;1.7;124205409;0;1.129526;False;False;False;True
6;2.0;124205409;0;1.126134;False;False;False;True
6;2.2;124205409;0;1.119131;False;False;False;True
6;2.2;124205409;0;1.103681;False;False;False;True
6;2.2;124205409;0;1.122883;False;False;False;True
6;1.2;124205409;0;1.10076;False;False;False;True
6;2.2;124205409;0;1.10991;False;False;False;True
6;2.2;124205409;0;1.115929;False;False;False;True
6;2.2;124205409;0;1.123362;False;False;False;True
6;1.7;124205409;0;1.114981;False;False;False;True
6;1.0;124205409;0;1.103958;False;False;False;True
6;2.2;124205409;0;1.11511;False;False;False;True
6;2.2;124205409;0;1.130567;False;False;False;True
6;2.2;124205409;0;1.125197;False;False;False;True
6;2.2;124205409;0;1.091669;False;False;False;True
6;2.0;124205409;0;1.111894;False;False;False;True
6;0.8;124205409;0;1.126112;False;False;False;True
6;0.8;124205409;0;1.105939;False;False;False;True
6;2.2;124205409;0;1.112019;False;False;False;True
6;1.5;124205409;0;1.095558;False;False;False;True
6;2.2;124205409;0;1.119936;False;False;False;True
6;1.5;124205409;0;1.123422;False;False;False;True
6;2.0;124205409;0;1.115539;False;False;False;True
6;2.0;124205409;0;1.112829;False;False;False;True
6;1.2;124205409;0;1.123043;False;False;False;True
6;2.2;124205409;0;1.111813;False;False;False;True
6;2.2;124205409;0;1.128893;False;False;False;True
6;1.2;124205409;0;1.127349;False;False;False;True
6;2.0;124205409;0;1.128463;False;False;False;True
6;2.2;124205409;0;1.124141;False;False;False;True
6;1.0;124205409;0;1.117875;False;False;False;True
6;1.5;124205409;0;1.116287;False;False;False;True
6;1.5;124205409;0;1.124527;False;False;False;True
6;2.0;124205409;0;1.133058;False;False;False;True
6;1.5;124205409;0;1.098607;False;False;False;True
6;2.2;124205409;0;1.124681;False;False;False;True
6;1.2;124205409;0;1.112868;False;False;False;True
6;2.2;124205409;0;1.100849;False;False;False;True
6;1.0;124205409;0;1.100138;False;False;False;True
6;2.2;124205409;0;1.118215;False;False;False;True
6;1.0;124205409;0;1.121437;False;False;False;True
6;2.2;124205409;0;1.120574;False;False;False;True
6;2.2;124205409;0;1.121171;False;False;False;True
6;2.0;124205409;0;1.12774;False;False;False;True
6;1.7;124205409;0;1.112298;False;False;False;True
6;2.2;124205409;0;1.113266;False;False;False;True
6;2.2;124205409;0;1.118355;False;False;False;True
6;1.2;124205409;0;1.117743;False;False;False;True
6;2.0;124205409;1;1.120957;False;False;False;True
6;2.0;124205409;1;1.133704;False;False;False;True
6;2.0;124205409;1;1.13637;False;False;False;True
6;2.0;124205409;1;1.126846;False;False;False;True
6;2.0;124205409;1;1.106028;False;False;False;True
6;2.0;124205409;1;1.114623;False;False;False;True
6;2.0;124205409;1;1.122162;False;False;False;True
6;2.0;124205409;1;1.106779;False;False;False;True
6;2.0;124205409;1;1.10421;False;False;False;True
6;2.0;124205409;1;1.093548;False;False;False;True
6;2.0;124205409;1;1.111652;False;False;False;True
6;2.0;124205409;1;1.092788;False;False;False;True
6;2.0;124205409;1;1.112846;False;False;False;True
6;2.0;124205409;1;1.131212;False;False;False;True
6;2.0;124205409;1;1.120221;False;False;False;True
6;2.0;124205409;1;1.124304;False;False;False;True
6;2.0;124205409;1;1.117495;False;False;False;True
6;2.0;124205409;1;1.106991;False;False;False;True
6;2.0;124205409;1;1.107182;False;False;False;True
6;2.0;124205409;1;1.118144;False;False;False;True
6;2.0;124205409;1;1.116599;False;False;False;True
6;2.0;124205409;1;1.100306;False;False;False;True
6;2.0;124205409;1;1.107159;False;False;False;True
6;2.0;124205409;1;1.126156;False;False;False;True
6;2.0;124205409;1;1.121836;False;False;False;True
6;2.0;124205409;1;1.114066;False;False;False;True
6;2.0;124205409;1;1.122669;False;False;False;True
6;2.0;124205409;1;1.134063;False;False;False;True
6;2.0;124205409;1;1.128383;False;False;False;True
6;2.0;124205409;1;1.106967;False;False;False;True
6;2.0;124205409;1;1.120885;False;False;False;True
6;2.0;124205409;1;1.113229;False;False;False;True
6;2.0;124205409;1;1.103964;False;False;False;True
6;2.0;124205409;1;1.129154;False;False;False;True
6;2.0;124205409;1;1.126444;False;False;False;True
6;2.0;124205409;1;1.09336;False;False;False;True
6;2.0;124205409;1;1.108693;False;False;False;True
6;2.0;124205409;1;1.126996;False;False;False;True
6;2.0;124205409;1;1.125166;False;False;False;True
6;2.0;124205409;1;1.104748;False;False;False;True
6;2.0;124205409;1;1.111803;False;False;False;True
6;2.0;124205409;1;1.110312;False;False;False;True
6;2.0;124205409;1;1.111499;False;False;False;True
6;2.0;124205409;1;1.124296;False;False;False;True
6;2.0;124205409;1;1.10479;False;False;False;True
6;2.0;124205409;1;1.133681;False;False;False;True
6;2.0;124205409;1;1.123309;False;False;False;True
6;2.0;124205409;1;1.098053;False;False;False;True
6;2.0;124205409;1;1.116323;False;False;False;True
6;2.0;124205409;1;1.104633;False;False;False;True
8;2.2;124205409;0;0.954968;False;False;False;True
8;2.0;124205409;0;0.993805;False;False;False;True
8;1.5;124205409;0;0.94445;False;False;False;True
8;2.0;124205409;0;0.984466;False;False;False;True
8;2.2;124205409;0;0.943887;False;False;False;True
8;2.2;124205409;0;0.971071;False;False;False;True
8;2.2;124205409;0;0.938123;False;False;False;True
8;2.0;124205409;0;0.965121;False;False;False;True
8;2.0;124205409;0;0.913192;False;False;False;True
8;1.0;124205409;0;0.954135;False;False;False;True
8;2.2;124205409;0;0.968066;False;False;False;True
8;1.7;124205409;0;0.96526;False;False;False;True
8;2.0;124205409;0;0.970167;False;False;False;True
8;2.0;124205409;0;0.943712;False;False;False;True
8;2.0;124205409;0;0.941869;False;False;False;True
8;2.0;124205409;0;0.959591;False;False;False;True
8;2.2;124205409;0;0.995791;False;False;False;True
8;2.2;124205409;0;0.923172;False;False;False;True
8;2.0;124205409;0;0.935265;False;False;False;True
8;1.5;124205409;0;0.947515;False;False;False;True
8;1.0;124205409;0;0.907645;False;False;False;True
8;1.0;124205409;0;0.966268;False;False;False;True
8;2.2;124205409;0;0.967178;False;False;False;True
8;0.8;124205409;0;0.963172;False;False;False;True
8;2.0;124205409;0;0.952877;False;False;False;True
8;2.0;124205409;0;0.954697;False;False;False;True
8;2.0;124205409;0;0.949787;False;False;False;True
8;2.0;124205409;0;0.960917;False;False;False;True
8;2.0;124205409;0;0.943229;False;False;False;True
8;2.2;124205409;0;0.937142;False;False;False;True
8;1.5;124205409;0;0.947628;False;False;False;True
8;1.7;124205409;0;0.962247;False;False;False;True
8;2.0;124205409;0;0.972224;False;False;False;True
8;1.2;124205409;0;0.916778;False;False;False;True
8;2.0;124205409;0;1.000396;False;False;False;True
8;1.7;124205409;0;0.973523;False;False;False;True
8;2.0;124205409;0;0.946816;False;False;False;True
8;1.0;124205409;0;0.950756;False;False;False;True
8;2.2;124205409;0;1.004411;False;False;False;True
8;2.0;124205409;0;1.012855;False;False;False;True
8;2.2;124205409;0;0.936994;False;False;False;True
8;2.2;124205409;0;0.915498;False;False;False;True
8;2.0;124205409;0;0.950148;False;False;False;False
8;2.0;124205409;0;0.967617;False;False;False;True
8;2.0;124205409;0;0.997286;False;False;False;True
8;2.0;124205409;0;0.953573;False;False;False;True
8;1.7;124205409;0;0.983612;False;False;False;True
8;2.0;124205409;0;0.940437;False;False;False;True
8;2.0;124205409;0;0.966421;False;False;False;True
8;2.0;124205409;0;0.932683;False;False;False;True
8;1.7;124205409;1;0.975011;False;False;False;True
8;1.7;124205409;1;0.955765;False;False;False;True
8;1.7;124205409;1;0.975785;False;False;False;True
8;1.7;124205409;1;0.970248;False;False;False;True
8;1.7;124205409;1;0.952419;False;False;False;True
8;1.7;124205409;1;0.958662;False;False;False;True
8;1.7;124205409;1;0.990718;False;False;False;True
8;1.7;124205409;1;0.954171;False;False;False;True
8;1.7;124205409;1;0.996216;False;False;False;True
8;1.7;124205409;1;0.9794;False;False;False;True
8;1.7;124205409;1;0.936592;False;False;False;True
8;1.7;124205409;1;0.961262;False;False;False;True
8;1.7;124205409;1;0.973317;False;False;False;True
8;1.7;124205409;1;0.971266;False;False;False;True
8;1.7;124205409;1;0.971635;False;False;False;True
8;1.7;124205409;1;0.971255;False;False;False;True
8;1.7;124205409;1;0.954969;False;False;False;True
8;1.7;124205409;1;0.955162;False;False;False;True
8;1.7;124205409;1;0.952449;False;False;False;True
8;1.7;124205409;1;0.920825;False;False;False;True
8;1.7;124205409;1;0.960167;False;False;False;True
8;1.7;124205409;1;0.940253;False;False;False;True
8;1.7;124205409;1;0.956664;False;False;False;True
8;1.7;124205409;1;0.952187;False;False;False;True
8;1.7;124205409;1;0.953145;False;False;False;True
8;1.7;124205409;1;0.93692;False;False;False;True
8;1.7;124205409;1;0.997484;False;False;False;True
8;1.7;124205409;1;0.954052;False;False;False;True
8;1.7;124205409;1;0.98173;False;False;False;True
8;1.7;124205409;1;0.940103;False;False;False;True
8;1.7;124205409;1;0.946942;False;False;False;True
8;1.7;124205409;1;0.968072;False;False;False;True
8;1.7;124205409;1;0.95755;False;False;False;True
8;1.7;124205409;1;0.972556;False;False;False;True
8;1.7;124205409;1;0.938152;False;False;False;True
8;1.7;124205409;1;0.963464;False;False;False;True
8;1.7;124205409;1;0.982206;False;False;False;True
8;1.7;124205409;1;0.925299;False;False;False;True
8;1.7;124205409;1;0.929755;False;False;False;True
