N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
5;2.2;135228224;0;1.383433;False;False;False;True
5;1.0;135228224;0;1.40148;False;False;False;True
5;0.8;135228224;0;1.433181;False;False;False;True
5;1.5;135228224;0;1.402711;False;False;False;True
5;1.0;135228224;0;1.413774;False;False;False;True
5;1.0;135228224;0;1.375554;False;False;False;True
5;1.5;135228224;0;1.390411;False;False;False;True
5;1.7;135228224;0;1.403675;False;False;False;True
5;0.8;135228224;0;1.395964;False;False;False;True
5;2.0;135228224;0;1.411838;False;False;False;True
5;0.8;135228224;0;1.377517;False;False;False;True
5;2.2;135228224;0;1.406882;False;False;False;True
5;1.2;135228224;0;1.398947;False;False;False;True
5;1.7;135228224;0;1.400157;False;False;False;True
5;2.0;135228224;0;1.404827;False;False;False;True
5;1.7;135228224;0;1.388017;False;False;False;True
5;1.5;135228224;0;1.40049;False;False;False;True
5;1.0;135228224;0;1.389497;False;False;False;True
5;1.7;135228224;0;1.383657;False;False;False;True
5;0.8;135228224;0;1.394671;False;False;False;True
5;2.2;135228224;0;1.405969;False;False;False;True
5;1.5;135228224;0;1.399287;False;False;False;True
5;2.0;135228224;0;1.393949;False;False;False;True
5;1.0;135228224;0;1.395246;False;False;False;True
5;0.8;135228224;0;1.391955;False;False;False;True
5;2.2;135228224;0;1.396714;False;False;False;True
5;1.7;135228224;0;1.400457;False;False;False;True
5;2.2;135228224;0;1.431851;False;False;False;True
5;1.7;135228224;0;1.38658;False;False;False;True
5;1.0;135228224;0;1.383157;False;False;False;True
5;2.0;135228224;0;1.401982;False;False;False;True
5;1.2;135228224;0;1.384063;False;False;False;True
5;1.7;135228224;0;1.40407;False;False;False;True
5;1.5;135228224;0;1.398721;False;False;False;True
5;2.0;135228224;0;1.443428;False;False;False;True
5;1.5;135228224;0;1.414349;False;False;False;True
5;2.0;135228224;0;1.393373;False;False;False;True
5;0.8;135228224;0;1.398324;False;False;False;True
5;0.8;135228224;0;1.424457;False;False;False;True
5;0.8;135228224;0;1.391333;False;False;False;True
5;1.2;135228224;0;1.398426;False;False;False;True
5;1.2;135228224;0;1.405097;False;False;False;True
5;2.0;135228224;0;1.392787;False;False;False;True
5;1.5;135228224;0;1.42039;False;False;False;True
5;0.8;135228224;0;1.394449;False;False;False;True
5;1.2;135228224;0;1.405574;False;False;False;True
5;1.5;135228224;0;1.404405;False;False;False;True
5;1.5;135228224;0;1.444576;False;False;False;True
5;2.2;135228224;0;1.404857;False;False;False;True
5;1.5;135228224;0;1.400317;False;False;False;True
5;1.7;135228224;5;2.25;False;False;True;True
5;2.0;135228224;1;1.53708;False;False;False;True
5;1.2;135228224;5;1.748;False;False;True;True
5;2.0;135228224;5;2.56;False;False;True;True
5;2.0;135228224;5;2.563;False;False;True;True
5;2.0;135228224;5;31.113;True;False;False;True
5;1.7;135228224;5;2.259;False;False;True;True
5;2.0;135228224;5;2.548;False;False;True;True
5;1.7;135228224;5;2.242;False;False;True;True
5;1.5;135228224;5;2.044;False;False;True;True
5;1.5;135228224;5;2.048;False;False;True;True
5;2.2;135228224;1;1.485929;True;True;False;True
5;1.7;135228224;5;2.243;False;False;True;True
5;1.7;135228224;5;2.26;False;False;True;True
5;1.5;135228224;5;2.168;False;False;True;True
5;1.7;135228224;5;2.248;False;False;True;True
5;1.5;135228224;5;2.056;False;False;True;True
5;2.2;135228224;5;2.744;False;False;True;True
5;2.0;135228224;5;2.548;False;False;True;True
5;2.2;135228224;5;2.742;False;False;True;True
5;1.2;135228224;5;1.762;False;False;True;True
5;1.2;135228224;5;1.75;False;False;True;True
5;1.5;135228224;5;2.046;False;False;True;True
5;2.0;135228224;5;2.558;False;False;True;True
5;2.2;135228224;5;2.766;False;False;True;True
5;2.0;135228224;0;1.439284;False;False;False;True
5;2.0;135228224;1;1.473221;False;False;False;True
5;1.5;135228224;5;2.06;False;False;True;True
5;2.0;135228224;5;2.559;False;False;True;True
5;2.2;135228224;5;2.746;False;False;True;True
5;1.5;135228224;5;2.06;False;False;True;True
5;2.2;135228224;5;2.754;False;False;True;True
5;1.2;135228224;5;1.743;False;False;True;True
5;2.2;135228224;1;1.386945;False;False;False;True
5;2.0;135228224;5;2.547;False;False;True;True
5;1.2;135228224;5;1.756;False;False;True;True
5;1.5;135228224;5;2.049;False;False;True;True
