N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
5;2.0;135228224;0;1.404827;False;False;False;True
5;1.5;135228224;0;1.402711;False;False;False;True
5;1.5;135228224;0;1.414349;False;False;False;True
5;1.2;135228224;0;1.384063;False;False;False;True
5;1.7;135228224;0;1.38658;False;False;False;True
5;1.0;135228224;0;1.389497;False;False;False;True
5;1.7;135228224;0;1.400157;False;False;False;True
5;2.0;135228224;0;1.386846;False;False;False;True
5;2.2;135228224;0;1.406882;False;False;False;True
5;2.2;135228224;0;1.399109;False;False;False;True
5;1.0;135228224;0;1.413774;False;False;False;True
5;2.2;135228224;0;1.399069;False;False;False;True
5;2.0;135228224;0;1.424069;False;False;False;True
5;2.2;135228224;0;1.431851;False;False;False;True
5;1.0;135228224;0;1.383157;False;False;False;True
5;1.7;135228224;0;1.40407;False;False;False;True
5;0.8;135228224;0;1.424457;False;False;False;True
5;1.0;135228224;0;1.40148;False;False;False;True
5;2.2;135228224;0;1.392283;False;False;False;True
5;1.2;135228224;0;1.398947;False;False;False;True
5;1.2;135228224;0;1.405574;False;False;False;True
5;1.2;135228224;0;1.405097;False;False;False;True
5;0.8;135228224;0;1.394449;False;False;False;True
5;2.0;135228224;0;1.443428;False;False;False;True
5;1.7;135228224;0;1.400457;False;False;False;True
5;1.7;135228224;0;1.41802;False;False;False;True
5;2.2;135228224;0;1.384735;False;False;False;True
5;0.8;135228224;0;1.398324;False;False;False;True
5;2.0;135228224;0;1.389047;False;False;False;True
5;2.2;135228224;0;1.383433;False;False;False;True
5;0.8;135228224;0;1.377517;False;False;False;True
5;1.2;135228224;0;1.407811;False;False;False;True
5;1.2;135228224;0;1.410369;False;False;False;True
5;1.5;135228224;0;1.399287;False;False;False;True
5;1.5;135228224;0;1.400317;False;False;False;True
5;2.0;135228224;0;1.411838;False;False;False;True
5;2.0;135228224;0;1.391257;False;False;False;True
5;1.5;135228224;0;1.404405;False;False;False;True
5;1.5;135228224;0;1.390411;False;False;False;True
5;1.0;135228224;0;1.375554;False;False;False;True
5;0.8;135228224;0;1.391955;False;False;False;True
5;0.8;135228224;0;1.391333;False;False;False;True
5;2.0;135228224;0;1.393949;False;False;False;True
5;2.0;135228224;0;1.393419;False;False;False;True
5;1.5;135228224;0;1.40049;False;False;False;True
5;0.8;135228224;0;1.433181;False;False;False;True
5;1.5;135228224;0;1.413028;False;False;False;True
5;1.5;135228224;0;1.42039;False;False;False;True
5;1.5;135228224;0;1.427339;False;False;False;True
5;2.0;135228224;0;1.399946;False;False;False;True
5;2.0;135228224;1;1.349049;False;False;False;True
5;2.2;135228224;1;1.383822;False;False;False;True
5;2.2;135228224;1;1.388185;False;False;False;True
5;2.2;135228224;1;1.392228;False;False;False;True
5;2.2;135228224;1;1.394929;False;False;False;True
5;2.2;135228224;1;1.394678;False;False;False;True
5;2.2;135228224;1;1.396802;False;False;False;True
5;2.2;135228224;1;1.4158;False;False;False;True
5;2.0;135228224;1;1.402494;True;True;False;True
5;2.0;135228224;1;1.473221;False;False;False;True
5;2.2;135228224;1;1.40798;False;False;False;True
5;2.2;135228224;1;1.419306;False;False;False;True
5;2.2;135228224;1;1.40288;False;False;False;True
5;2.2;135228224;1;1.46063;False;False;False;True
5;2.2;135228224;1;1.481316;False;False;False;True
5;2.2;135228224;1;1.408031;False;False;False;True
5;2.2;135228224;1;1.406194;False;False;False;True
5;2.2;135228224;1;1.421576;False;False;False;True
5;2.2;135228224;1;1.403033;False;False;False;True
5;2.2;135228224;1;1.385726;False;False;False;True
5;2.2;135228224;1;1.409111;False;False;False;True
5;2.2;135228224;1;1.400039;False;False;False;True
5;2.2;135228224;1;1.39877;False;False;False;True
5;2.2;135228224;1;1.395792;False;False;False;True
5;2.2;135228224;1;1.399522;False;False;False;True
5;2.2;135228224;1;1.398853;False;False;False;True
5;2.2;135228224;1;1.395879;False;False;False;True
5;2.2;135228224;1;1.391436;False;False;False;True
5;2.2;135228224;1;1.404588;False;False;False;True
5;2.2;135228224;1;1.387245;False;False;False;True
5;2.2;135228224;1;1.404647;False;False;False;True
5;2.2;135228224;1;1.406963;False;False;False;True
5;2.2;135228224;1;1.40131;False;False;False;True
5;2.0;135228224;1;1.361816;False;False;False;True
5;2.2;135228224;1;1.40082;False;False;False;True
5;2.2;135228224;1;1.40936;False;False;False;True
5;2.2;135228224;1;1.409198;False;False;False;True
5;2.2;135228224;1;1.408952;False;False;False;True
5;2.2;135228224;1;1.398086;False;False;False;True
5;2.2;135228224;1;1.387977;False;False;False;True
5;2.2;135228224;1;1.396172;False;False;False;True
5;2.2;135228224;1;1.386945;False;False;False;True
5;2.2;135228224;1;1.409491;False;False;False;True
5;2.0;135228224;1;1.53708;False;False;False;True
5;2.2;135228224;1;1.412037;False;False;False;True
5;2.2;135228224;1;1.382923;False;False;False;True
5;2.2;135228224;1;1.403757;False;False;False;True
5;2.2;135228224;1;1.394964;False;False;False;True
5;2.2;135228224;1;1.442553;False;False;False;True
5;2.2;135228224;1;1.485929;True;True;False;True
9;2.2;120732254;0;1.328416;False;False;False;True
9;1.5;120732254;0;1.365802;False;False;False;True
9;1.2;120732254;0;1.352829;False;False;False;True
9;0.8;120732254;0;1.332049;False;False;False;True
9;1.5;120732254;0;1.32859;False;False;False;True
9;1.2;120732254;0;1.32919;False;False;False;True
9;1.7;120732254;0;1.347116;False;False;False;True
9;1.2;120732254;0;1.329915;False;False;False;True
9;1.2;120732254;0;1.314919;False;False;False;True
9;2.2;120732254;0;1.319722;False;False;False;True
9;2.2;120732254;0;1.329626;False;False;False;True
9;1.0;120732254;0;1.319043;False;False;False;True
9;1.2;120732254;0;1.3626;False;False;False;True
9;1.7;120732254;0;1.32325;False;False;False;True
9;1.7;120732254;0;1.327996;False;False;False;True
9;1.5;120732254;0;1.348248;False;False;False;True
9;2.0;120732254;0;1.33802;False;False;False;True
9;2.2;120732254;0;1.371183;False;False;False;True
9;2.0;120732254;0;1.325139;False;False;False;True
9;2.2;120732254;0;1.3251;False;False;False;True
9;2.0;120732254;0;1.316194;False;False;False;True
9;1.2;120732254;0;1.319518;False;False;False;True
9;2.2;120732254;0;1.334664;False;False;False;True
9;2.2;120732254;0;1.325508;False;False;False;True
9;2.0;120732254;0;1.326192;False;False;False;True
9;1.0;120732254;0;1.333215;False;False;False;True
9;2.2;120732254;0;1.322582;False;False;False;True
9;2.2;120732254;0;1.34454;False;False;False;True
9;1.2;120732254;0;1.324182;False;False;False;True
9;2.2;120732254;0;1.32531;False;False;False;True
9;2.2;120732254;0;1.328765;False;False;False;True
9;2.2;120732254;0;1.328462;False;False;False;True
9;1.0;120732254;0;1.349791;False;False;False;True
9;2.2;120732254;0;1.330605;False;False;False;True
9;2.2;120732254;0;1.326708;False;False;False;True
9;2.2;120732254;0;1.310657;False;False;False;True
9;2.2;120732254;0;1.343721;False;False;False;True
9;1.2;120732254;0;1.318479;False;False;False;True
9;2.2;120732254;0;1.33018;False;False;False;True
9;1.0;120732254;0;1.308186;False;False;False;True
9;0.8;120732254;0;1.342254;False;False;False;True
9;2.2;120732254;0;1.340718;False;False;False;True
9;2.2;120732254;0;1.336266;False;False;False;True
9;2.2;120732254;0;1.326188;False;False;False;True
9;1.0;120732254;0;1.324571;False;False;False;True
9;0.8;120732254;0;1.323379;False;False;False;True
9;2.2;120732254;0;1.326052;False;False;False;True
