N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
4;1.0;187205409;0;1.051035;False;False;False;True
4;1.0;187205409;0;1.05499;False;False;False;True
4;2.2;187205409;0;1.060358;False;False;False;True
4;0.8;187205409;0;1.069433;False;False;False;True
4;2.2;187205409;0;1.056659;False;False;False;True
4;2.2;187205409;0;1.055036;False;False;False;True
4;1.5;187205409;0;1.062398;False;False;False;True
4;1.7;187205409;0;1.062893;False;False;False;True
4;1.5;187205409;0;1.044151;False;False;False;True
4;1.2;187205409;0;1.050646;False;False;False;True
4;2.0;187205409;0;1.061127;False;False;False;True
4;1.2;187205409;0;1.092285;False;False;False;True
4;1.0;187205409;0;1.057619;False;False;False;True
4;1.0;187205409;0;1.062495;False;False;False;True
4;1.5;187205409;0;1.057305;False;False;False;True
4;2.2;187205409;0;1.063239;False;False;False;True
4;1.5;187205409;0;1.068477;False;False;False;True
4;1.2;187205409;0;1.059592;False;False;False;True
4;2.0;187205409;0;1.050651;False;False;False;True
4;1.7;187205409;0;1.056323;False;False;False;True
4;1.7;187205409;0;1.050055;False;False;False;True
4;2.2;187205409;0;1.065376;False;False;False;True
4;1.5;187205409;0;1.04711;False;False;False;True
4;2.0;187205409;0;1.048178;False;False;False;True
4;1.2;187205409;0;1.064049;False;False;False;True
4;1.2;187205409;0;1.059448;False;False;False;True
4;1.7;187205409;0;1.064624;False;False;False;True
4;1.2;187205409;0;1.065629;False;False;False;True
4;1.7;187205409;0;1.077574;False;False;False;True
4;1.2;187205409;0;1.042859;False;False;False;True
4;1.0;187205409;0;1.062164;False;False;False;True
4;0.8;187205409;0;1.062354;False;False;False;True
4;1.2;187205409;0;1.060425;False;False;False;True
4;1.7;187205409;0;1.043866;False;False;False;True
4;1.0;187205409;0;1.077699;False;False;False;True
4;0.8;187205409;0;1.05033;False;False;False;True
4;2.0;187205409;0;1.051635;False;False;False;True
4;1.2;187205409;0;1.049093;False;False;False;True
4;2.2;187205409;0;1.058981;False;False;False;True
4;2.2;187205409;0;1.03459;False;False;False;True
4;2.0;187205409;0;1.046263;False;False;False;True
4;1.5;187205409;0;1.047759;False;False;False;True
4;1.5;187205409;0;1.041389;False;False;False;True
4;2.0;187205409;0;1.063337;False;False;False;True
4;1.0;187205409;0;1.060462;False;False;False;True
4;2.2;187205409;0;1.043617;False;False;False;True
4;2.2;187205409;0;1.053309;False;False;False;True
4;0.8;187205409;0;1.038668;False;False;False;True
4;2.2;187205409;0;1.049051;False;False;False;True
4;1.7;187205409;0;1.055172;False;False;False;True
4;1.2;187205409;4;1.776;False;False;True;True
4;2.2;187205409;1;2.473;False;False;False;True
4;1.0;187205409;4;1.759;False;False;True;True
4;1.2;187205409;4;1.779;False;False;True;True
4;1.5;187205409;4;1.852;False;False;True;True
4;2.2;187205409;1;1.055441;False;False;False;True
4;2.0;187205409;1;2.452;False;False;False;True
4;1.7;187205409;4;2.038;False;False;True;True
4;0.8;187205409;4;1.732;False;False;True;True
