N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
39;3;16;22115275;8;39;4.029;False;False;True;True
26;4;19;32746334;1;1;4.628;False;False;False;True
34;2;17;25270486;3;34;2.976;False;False;True;True
62;2;12;14048919;9;62;3.333;False;False;True;True
13;2;27;46526953;5;13;2.962;False;False;True;True
25;2;20;34004988;10;25;2.827;False;False;True;True
12;4;28;49128305;1;1;5.756;False;False;False;True
11;5;30;52029754;1;1;6.273;False;False;False;True
38;2;16;22676613;5;38;3.164;False;False;True;True
37;2;16;23279730;5;37;3.136;False;False;True;True
58;3;13;15003922;13;58;4.402;False;False;True;True
43;4;15;20115982;5;3;4.97;False;False;False;True
37;3;16;23281248;3;3;5.172;False;False;False;True
34;3;17;25281841;3;34;3.872;False;False;True;True
48;2;14;18056717;6;48;31.242;True;False;True;True
43;4;15;20097551;6;7;4.921;False;False;True;True
59;5;13;14746788;0;0;5.139;False;False;False;True
10;4;31;55260306;4;4;5.967;False;False;False;True
43;2;15;20105530;10;43;3.079;False;False;True;True
13;5;27;46534771;1;1;5.81;False;False;False;True
29;3;18;29479422;12;29;4.179;False;False;True;True
57;5;13;15260361;0;0;5.131;False;False;False;True
48;2;14;18067561;8;48;3.138;False;False;True;True
36;5;16;23896935;0;0;5.213;False;False;False;True
41;3;15;21068813;5;41;3.991;False;False;True;True
64;4;12;13606622;6;64;5.348;False;False;True;True
60;2;12;14500569;9;60;3.429;False;False;True;True
39;4;16;22103887;4;39;5.131;False;False;True;True
40;5;15;21579002;7;13;6.015;False;False;True;True
56;4;13;15531917;0;0;4.334;False;False;False;True
36;4;16;23903503;5;36;5.058;False;False;True;True
9;5;33;58935710;2;2;6.822;False;False;False;True
41;5;15;21050844;4;0;5.587;False;False;False;True
14;4;26;44214585;7;2;4.758;False;False;False;True
30;2;18;28543040;3;30;30.286;True;True;True;True
47;5;14;18438144;0;0;5.14;False;False;False;True
61;4;12;14281101;0;0;4.137;False;False;False;True
31;4;17;27642602;8;1;4.676;False;False;False;True
17;4;24;49112548;3;8;30.33;True;True;False;True
20;3;22;42115646;2;20;3.742;False;False;True;True
27;2;19;31592642;4;27;2.988;False;False;True;True
24;5;20;35363450;0;0;5.144;False;False;False;True
32;3;17;26810050;4;32;31.253;True;False;True;True
40;5;15;21585458;7;1;31.263;True;False;False;True
59;5;13;14742559;0;0;5.137;False;False;False;True
39;5;16;22126017;10;0;5.743;False;False;False;True
59;3;13;14747194;5;59;4.065;False;False;True;True
41;2;15;21054365;7;41;3.059;False;False;True;True
56;2;13;15539771;11;56;3.271;False;False;True;True
33;4;17;26009314;12;33;5.323;False;False;True;True
50;3;14;17358045;4;50;4.169;False;False;True;True
4;3;50;88412534;2;2;5.868;False;False;False;True
60;5;12;14508005;0;0;5.137;False;False;False;True
34;3;17;25265704;8;34;3.88;False;False;True;True
25;2;20;34023657;8;25;2.793;False;False;True;True
43;3;15;20113090;5;43;4.132;False;False;True;True
30;2;18;28539271;4;30;30.351;True;False;False;True
57;4;13;15251810;0;0;4.299;False;False;False;True
17;4;24;49120612;4;17;5.945;False;True;True;True
5;2;44;80383955;3;5;3.568;False;False;True;True
46;3;14;18829791;9;46;4.188;False;False;True;True
59;4;13;14760397;8;0;5.049;False;False;False;True
41;2;15;21076428;8;41;3.174;False;False;True;True
54;2;13;16079057;1;1;4.87;False;False;False;True
62;3;12;14048683;9;62;4.086;False;False;True;True
36;5;16;23914187;3;0;5.684;False;False;False;True
15;4;25;42099766;3;4;5.193;False;False;True;True
22;5;21;38439969;6;1;5.586;False;False;False;True
63;4;12;13812804;5;0;4.763;False;False;False;True
50;2;14;17344221;12;50;3.156;False;False;True;True
42;2;15;20570039;12;42;3.021;False;False;True;True
38;3;16;22678426;5;38;31.195;True;False;False;True
17;3;24;49131454;3;17;4.351;False;False;True;True
48;2;14;18054723;9;48;2.954;False;False;True;True
49;3;14;17704363;7;49;4.042;False;False;True;True
46;2;14;18817207;2;46;31.222;True;False;False;True
60;5;12;14495724;0;0;5.135;False;False;False;True
54;4;13;16086677;9;10;5.044;False;False;True;True
11;5;30;52015223;4;4;6.236;False;False;False;True
27;2;19;31595005;9;27;2.827;False;False;True;True
38;3;16;22686606;10;38;4.229;False;False;True;True
9;4;33;58948952;1;1;30.257;True;True;False;True
48;3;14;18050941;8;48;3.93;False;False;True;True
59;5;13;14735797;0;0;5.142;False;False;False;True
55;5;13;15810072;0;0;5.138;False;False;False;True
58;4;13;14991630;9;0;4.673;False;False;False;True
62;3;12;14044809;9;19;4.166;False;False;True;True
60;5;12;14519799;0;0;5.135;False;False;False;True
28;2;18;30513550;6;28;2.908;False;False;True;True
9;4;33;58964468;1;1;6.719;False;False;False;True
37;5;16;23263271;5;0;5.748;False;False;False;True
57;5;13;15262452;0;0;5.129;False;False;False;True
36;4;16;23906698;9;36;5.054;False;False;True;True
21;2;21;40185067;3;21;2.73;False;False;True;True
56;4;13;15534070;9;56;4.892;False;False;True;True
31;5;17;27651763;0;0;5.142;False;False;False;True
54;2;13;16095709;9;54;3.376;False;False;True;True
31;5;17;27656023;0;0;5.15;False;False;False;True
42;4;15;20580666;3;3;5.137;False;False;False;True
57;5;13;15259752;0;0;5.146;False;False;False;True
35;2;16;24560270;8;35;2.962;False;False;True;True
30;3;18;28522789;9;30;3.944;False;False;True;True
38;2;16;22670886;8;38;2.951;False;False;True;True
