N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
25;2;34019152;1;4.836;False;False;False;True
25;3;34002651;0;4.098;False;False;False;True
16;3;52021343;1;4.725;False;False;False;True
8;2;63150538;5;4.654;False;False;True;True
10;3;55272154;0;3.778;False;False;False;True
32;2;26804122;0;11.937;False;False;False;True
13;3;46529841;0;4.368;False;False;False;True
16;2;52028764;2;7.065;False;False;False;True
14;3;44223428;0;3.686;False;False;False;True
14;2;44229927;2;4.583;False;False;True;True
28;3;30486851;0;3.709;False;False;False;True
8;3;63173903;1;6.992;False;False;False;True
31;3;27643585;0;3.645;False;False;False;True
18;3;46534234;5;11.273;False;False;True;True
11;2;52010050;3;7.349;False;False;True;True
14;3;44215356;0;3.695;False;False;False;True
31;3;27645904;0;3.904;False;False;False;True
11;2;52019284;5;6.59;False;False;True;True
24;2;35375027;1;6.327;False;False;False;True
25;2;34013885;2;11.928;False;False;True;True
17;2;49116287;2;4.677;False;False;False;True
15;3;42117555;0;3.689;False;False;False;True
30;3;28544672;0;3.773;False;False;False;True
22;2;38445604;2;8.61;False;False;False;True
29;3;29486458;0;3.801;False;False;False;True
24;2;35364370;2;10.941;False;False;False;True
5;3;80368418;1;5.574;False;False;False;True
31;2;27630591;0;11.431;False;False;False;True
21;2;40204047;1;4.49;False;False;False;True
16;2;52016030;12;8.216;False;False;True;True
5;2;80363906;5;4.593;False;False;True;True
7;3;68002973;0;7.207;False;False;False;True
5;2;80366235;5;5.157;False;False;True;True
8;2;63162553;2;4.691;False;False;False;True
24;3;35386506;0;13.271;False;False;False;True
9;2;58943116;2;6.805;False;False;False;True
23;2;36853229;1;9.096;False;False;False;True
11;2;52021482;1;4.743;False;False;False;True
28;2;30491398;0;15.838;False;False;False;True
4;2;88405101;1;4.065;False;False;False;True
7;2;68026882;2;5.182;False;False;False;True
8;3;63166946;0;5.132;False;False;False;True
13;3;46538245;0;3.875;False;False;False;True
4;2;88431900;4;4.572;False;False;True;True
17;2;49111596;9;11.113;False;False;True;True
21;2;40209473;3;5.452;False;False;False;True
15;2;42097198;1;8.781;False;False;False;True
11;2;52031106;4;7.899;False;False;True;True
32;3;26817391;0;4.063;False;False;False;True
30;3;28539576;0;3.914;False;False;False;True
11;2;52001372;11;7.241;False;False;True;True
10;2;55256311;1;7.401;False;False;False;True
4;2;88424213;2;4.748;False;False;False;True
25;2;34031046;1;15.282;False;False;False;True
25;3;34021088;0;3.928;False;False;False;True
15;2;42110819;3;10.042;False;False;True;True
12;2;49134216;1;4.713;False;False;False;True
22;3;38447391;0;13.749;False;False;False;True
12;2;49118643;8;3.477;False;False;True;True
18;3;46537721;2;12.154;False;False;True;True
11;2;52028814;5;6.349;False;False;True;True
26;3;32771536;0;3.911;False;False;False;True
16;3;52019343;2;9.567;False;False;False;True
25;3;34003770;0;3.792;False;False;False;True
13;3;46549521;0;3.944;False;False;False;True
28;2;30511074;0;10.759;False;False;False;True
10;3;55280080;0;7.66;False;False;False;True
14;3;44203300;0;3.874;False;False;False;True
17;2;49129619;4;9.22;False;False;True;True
22;2;38465378;2;5.457;False;False;False;True
15;2;42100849;1;4.663;False;False;False;True
22;3;38455612;12;5.62;False;False;True;True
19;3;44223585;0;4.187;False;False;False;True
4;2;88414333;1;4.33;False;False;False;True
8;2;63162188;2;4.441;False;False;False;True
18;2;46531805;4;5.939;False;False;True;True
10;2;55250221;3;5.266;False;False;True;True
6;2;73695267;6;5.503;False;False;True;True
21;3;40208983;0;3.999;False;False;False;True
21;2;40191075;2;11.686;False;False;False;True
20;3;42112971;8;10.143;False;False;True;True
10;2;55254196;10;7.323;False;False;True;True
22;2;38460754;1;13.883;False;False;False;True
16;3;52003296;0;8.492;False;False;False;True
32;2;26798141;19;19.96;False;False;True;True
30;2;28527204;1;16.652;False;False;False;True
7;3;68003988;0;7.08;False;False;False;True
7;3;68010599;1;5.487;False;False;False;True
4;2;88421124;4;4.619;False;False;True;True
31;2;27640485;0;17.154;False;False;False;True
23;3;36860277;0;3.774;False;False;False;True
13;3;46542816;0;3.684;False;False;False;True
24;2;35372630;2;4.54;False;False;True;True
12;2;49133349;11;8.453;False;False;True;True
29;3;29483911;0;3.832;False;False;False;True
30;3;28522859;0;3.88;False;False;False;True
11;3;52032428;0;6.606;False;False;False;True
32;2;26811185;15;20.036;False;False;True;True
13;3;46545529;0;3.887;False;False;False;True
21;2;40199112;1;8.649;False;False;False;True
30;3;28518520;0;3.827;False;False;False;True
4;2;88415764;1;4.107;False;False;False;True
