N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
13;3;46549447;0;3.82;False;False;False;True
12;3;49123818;0;3.852;False;False;False;True
26;3;32748571;0;3.714;False;False;False;True
13;3;46542045;0;3.673;False;False;False;True
26;3;32761778;0;3.976;False;False;False;True
32;3;26791879;0;3.712;False;False;False;True
30;2;28547897;1;17.158;False;False;False;True
27;3;31590547;0;3.933;False;False;False;True
10;2;55278470;3;6.252;False;False;True;True
28;2;30509499;2;16.676;False;False;True;True
19;3;44230326;0;3.949;False;False;False;True
11;3;52029144;0;3.834;False;False;False;True
9;3;58960161;0;7.128;False;False;False;True
26;2;32754926;1;13.896;False;False;False;True
15;2;42108544;2;6.824;False;False;True;True
22;2;38465079;2;14.049;False;False;True;True
8;2;63143757;0;3.294;False;False;False;True
31;3;27651165;0;4.028;False;False;False;True
23;2;36834085;2;9.574;False;False;False;True
26;2;32770602;2;15.066;False;False;True;True
12;3;49112108;0;3.715;False;False;False;True
22;3;38452243;0;3.75;False;False;False;True
31;3;27639459;0;4.116;False;False;False;True
9;3;58937146;0;4.022;False;False;False;True
6;3;73698867;0;5.625;False;False;False;True
4;3;88403111;0;3.894;False;False;False;True
8;3;63159085;0;3.735;False;False;False;True
18;3;46549070;0;3.919;False;False;False;True
4;2;88423230;4;4.092;False;False;True;True
28;2;30502414;0;15.218;False;False;False;True
17;2;49132555;2;6.465;False;False;False;True
10;2;55252536;1;4.211;False;False;False;True
25;3;34017108;0;3.826;False;False;False;True
7;2;68013222;1;3.944;False;False;False;True
24;2;35375645;1;12.827;False;False;False;True
11;2;52017174;1;5.254;False;False;False;True
32;2;26807074;0;3.771;False;False;False;True
13;2;46551180;1;8.405;False;False;False;True
7;3;68029835;0;7.149;False;False;False;True
30;2;28526078;2;8.032;False;False;True;True
6;2;73697736;2;4.65;False;False;False;True
7;3;68006722;0;7.181;False;False;False;True
6;3;73688961;1;5.204;False;False;False;True
23;3;36863915;0;3.807;False;False;False;True
24;3;35375106;0;3.857;False;False;False;True
17;3;49127149;0;3.966;False;False;False;True
25;3;34028782;0;3.747;False;False;False;True
10;2;55254445;1;4.253;False;False;False;True
24;3;35371602;0;4.082;False;False;False;True
18;2;46545522;1;9.54;False;False;False;True
20;2;42108695;2;8.124;False;False;True;True
30;2;28544474;2;6.978;False;False;True;True
17;2;49141123;1;11.856;False;False;False;True
12;3;49124734;0;3.851;False;False;False;True
9;3;58947687;0;5.025;False;False;False;True
25;3;34022262;0;4.009;False;False;False;True
8;3;63149038;0;3.834;False;False;False;True
12;2;49123782;2;6.265;False;False;True;True
23;2;36846577;1;13.925;False;False;False;True
17;2;49136906;1;6.381;False;False;False;True
17;3;49116590;0;7.256;False;False;False;True
31;3;27648182;0;3.909;False;False;False;True
17;3;49111479;0;12.038;False;False;False;True
18;2;46540300;1;11.153;False;False;False;True
13;3;46550612;0;3.825;False;False;False;True
13;2;46526616;0;3.435;False;False;False;True
26;2;32765300;1;8.532;False;False;False;True
28;2;30487077;1;6.611;False;False;False;True
25;3;34000778;0;3.666;False;False;False;True
19;3;44210275;0;3.888;False;False;False;True
26;3;32746182;0;3.866;False;False;False;True
28;2;30505040;0;4.677;False;False;False;True
11;2;52022745;2;4.626;False;False;True;True
29;2;29475213;0;17.321;False;False;False;True
25;3;34021637;0;3.685;False;False;False;True
23;2;36834944;0;12.838;False;False;False;True
28;3;30512706;0;3.874;False;False;False;True
27;2;31582614;0;14.491;False;False;False;True
13;3;46550934;0;6.677;False;False;False;True
8;3;63160664;0;4.008;False;False;False;True
6;2;73669605;6;3.941;False;False;True;True
23;3;36865362;0;3.765;False;False;False;True
15;3;42123119;0;3.732;False;False;False;True
28;3;30514739;0;3.691;False;False;False;True
11;2;52017734;3;5.144;False;False;True;True
10;3;55259214;1;8.157;False;False;False;True
5;2;80374482;5;4.013;False;False;True;True
5;2;80367022;5;3.943;False;False;True;True
11;3;52017838;0;3.856;False;False;False;True
14;3;44222929;0;3.87;False;False;False;True
4;3;88426320;0;3.959;False;False;False;True
17;2;49128265;0;3.688;False;False;False;True
28;3;30485524;0;3.736;False;False;False;True
20;2;42099655;1;8.037;False;False;False;True
4;3;88417153;0;5.631;False;False;False;True
12;2;49117440;1;4.601;False;False;False;True
6;2;73680482;6;5.538;False;False;True;True
17;2;49118717;17;4.732;False;False;True;True
26;3;32741007;0;3.939;False;False;False;True
31;3;27628270;0;3.82;False;False;False;True
14;3;44228867;0;3.742;False;False;False;True
13;2;46533897;1;8.969;False;False;False;True
