N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
29;2;41625689;0;2.076;False;False;False;True
31;3;39011681;0;3.049;False;False;False;True
29;3;41611660;0;3.048;False;False;False;True
23;3;52006757;0;3.057;False;False;False;True
12;2;69355194;0;2.047;False;False;False;True
12;2;69354032;0;2.053;False;False;False;True
5;3;113459514;0;3.045;False;False;False;True
21;2;56742045;0;2.059;False;False;False;True
29;3;41609653;0;3.044;False;False;False;True
15;3;59444105;0;3.051;False;False;False;True
5;2;113471826;0;2.271;False;False;False;True
5;2;113464851;1;2.298;False;False;False;True
25;3;48025935;0;3.055;False;False;False;True
18;3;65686844;0;3.047;False;False;False;True
4;3;124817025;0;3.046;False;False;False;True
9;2;83220707;0;2.079;False;False;False;True
5;2;113476290;1;2.303;False;False;False;True
19;3;62403163;0;3.045;False;False;False;True
32;2;37826177;0;2.044;False;False;False;True
12;3;69343983;0;3.046;False;False;False;True
21;3;56759240;0;3.044;False;False;False;True
7;3;96025164;0;3.045;False;False;False;True
9;2;83232540;0;2.087;False;False;False;True
4;3;124811950;0;3.069;False;False;False;True
11;3;73415782;0;3.048;False;False;False;True
4;3;156010799;0;3.044;False;False;False;True
20;2;74294031;8;2.326;False;False;True;True
12;2;86675302;1;2.822;False;False;False;True
20;2;74313035;1;2.798;False;False;False;True
30;3;50345971;0;3.045;False;False;False;True
19;2;78022687;1;2.634;False;False;False;True
26;3;57808102;0;3.048;False;False;False;True
6;3;130010660;0;3.054;False;False;False;True
16;2;91773257;1;2.557;False;False;False;True
23;3;65009745;0;3.047;False;False;False;True
6;3;130005622;0;3.048;False;False;False;True
17;3;86678545;0;3.044;False;False;False;True
11;2;91779052;1;2.331;False;False;False;True
20;3;74295387;0;3.048;False;False;False;True
5;2;141844161;1;2.941;False;False;False;True
7;2;120025759;1;2.449;False;False;False;True
9;3;104026459;0;3.051;False;False;False;True
32;3;47277515;0;3.048;False;False;False;True
24;2;74898918;24;2.248;False;False;True;True
17;2;104008476;1;2.928;False;False;False;True
9;3;124800585;0;3.047;False;False;False;True
24;3;74904898;0;3.054;False;False;False;True
14;2;93603561;14;2.212;False;False;True;True
14;2;93632723;12;2.251;False;False;True;True
12;2;104005069;1;2.728;False;False;False;True
26;2;69357901;1;3.896;False;False;False;True
5;2;170189987;1;3.109;False;False;False;True
4;3;187224009;0;3.113;False;False;False;True
10;2;117023668;0;3.012;False;False;False;True
20;3;89174134;0;3.05;False;False;False;True
28;3;64574160;0;3.25;False;False;False;True
5;2;170196552;5;2.359;False;False;True;True
5;3;170213530;1;3.303;False;False;False;True
31;3;58512323;2;3.392;False;False;True;True
12;2;104006664;0;2.719;False;False;False;True
5;2;170191640;0;3.341;False;False;False;True
12;2;104028887;1;2.942;False;False;False;True
5;2;170202295;5;2.268;False;False;True;True
11;3;110143122;0;3.047;False;False;False;True
28;2;64557416;1;2.288;False;False;False;True
13;2;98551496;13;2.227;False;False;True;True
11;3;110128892;6;3.249;False;False;True;True
25;2;72013262;1;2.807;False;False;False;True
7;3;144001868;0;3.046;False;False;False;True
8;2;133725914;1;2.866;False;False;False;True
27;2;66861048;1;2.787;False;False;False;True
6;2;156002419;6;2.346;False;False;True;True
30;3;60415274;30;3.348;False;False;True;True
21;2;85093079;1;3.064;False;False;False;True
28;3;64573406;0;3.542;False;False;False;True
15;3;89143893;0;3.05;False;False;False;True
16;3;110141993;0;3.045;False;False;False;True
20;3;89165387;0;3.053;False;False;False;True
6;2;156012674;6;2.339;False;False;True;True
27;2;66888189;1;2.267;False;False;False;True
10;2;117000597;1;3.212;False;False;False;True
14;2;93627217;14;2.225;False;False;True;True
20;3;89149039;0;3.058;False;False;False;True
8;2;133731701;1;2.876;False;False;False;True
10;2;117030791;1;3.351;False;False;False;True
12;3;104026933;0;3.052;False;False;False;True
16;2;110125773;1;3.071;False;False;False;True
28;2;64569728;1;2.231;False;False;False;True
19;3;93622091;0;3.121;False;False;False;True
30;3;60389212;0;3.047;False;False;False;True
15;3;89172859;0;3.054;False;False;False;True
28;3;64579647;0;3.052;False;False;False;True
6;2;156028750;6;2.257;False;False;True;True
16;2;110146226;1;3.221;False;False;False;True
21;3;85115124;0;3.057;False;False;False;True
12;3;104032231;0;3.046;False;False;False;True
25;3;72017604;0;3.046;False;False;False;True
17;3;104018658;0;3.266;False;False;False;True
25;2;72000903;9;2.388;False;False;True;True
22;3;81403799;0;3.053;False;False;False;True
