N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
4;1.2;187228224;0;1.290725;False;False;False;True
4;0.8;187228224;0;1.294322;False;False;False;True
4;1.7;187228224;0;1.296763;False;False;False;True
4;2.2;187228224;0;1.301017;False;False;False;True
4;1.5;187228224;0;1.287768;False;False;False;True
4;1.7;187228224;0;1.296257;False;False;False;True
4;0.8;187228224;0;1.297177;False;False;False;True
4;2.2;187228224;0;1.289892;False;False;False;True
4;1.0;187228224;0;1.279032;False;False;False;True
4;1.7;187228224;0;1.281283;False;False;False;True
4;2.0;187228224;0;1.27369;False;False;False;True
4;1.7;187228224;0;1.316241;False;False;False;True
4;1.5;187228224;0;1.281318;False;False;False;True
4;1.2;187228224;0;1.288216;False;False;False;True
4;1.0;187228224;0;1.234555;False;False;False;True
4;2.2;187228224;0;1.327712;False;False;False;True
4;2.0;187228224;0;1.234317;False;False;False;True
4;2.2;187228224;0;1.288494;False;False;False;True
4;1.2;187228224;0;1.276636;False;False;False;True
4;1.2;187228224;0;1.283535;False;False;False;True
4;1.7;187228224;0;1.307593;False;False;False;True
4;1.0;187228224;0;1.281069;False;False;False;True
4;1.5;187228224;0;1.280267;False;False;False;True
4;1.5;187228224;0;1.282924;False;False;False;True
4;1.2;187228224;0;1.274638;False;False;False;True
4;2.2;187228224;0;1.28841;False;False;False;True
4;0.8;187228224;0;1.228522;False;False;False;True
4;2.0;187228224;0;1.271386;False;False;False;True
4;1.2;187228224;0;1.284083;False;False;False;True
4;1.0;187228224;0;1.26954;False;False;False;True
4;0.8;187228224;0;1.301838;False;False;False;True
4;1.5;187228224;0;1.274867;False;False;False;True
4;1.0;187228224;0;1.231;False;False;False;True
4;2.2;187228224;0;1.28454;False;False;False;True
4;1.2;187228224;0;1.284637;False;False;False;True
4;1.5;187228224;0;1.278223;False;False;False;True
4;2.2;187228224;0;1.287317;False;False;False;True
4;2.2;187228224;0;1.284357;False;False;False;True
4;1.7;187228224;0;1.280219;False;False;False;True
4;2.2;187228224;0;1.290768;False;False;False;True
4;1.0;187228224;0;1.302809;False;False;False;True
4;1.0;187228224;0;1.275179;False;False;False;True
4;1.0;187228224;0;1.292033;False;False;False;True
4;1.2;187228224;0;1.356493;False;False;False;True
4;1.2;187228224;0;1.276571;False;False;False;True
4;1.2;187228224;0;1.29511;False;False;False;True
