N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
29;4;18;29473650;0;0;4.277;False;False;False;True
61;2;12;14266518;9;2;7.476;False;False;True;True
35;3;16;24582951;8;2;7.927;False;False;False;True
50;4;14;17356596;0;0;4.379;False;False;False;True
15;2;25;42125420;3;15;4.174;False;False;True;True
12;2;28;49112179;7;12;5.795;False;False;True;True
60;3;12;14511897;0;0;3.582;False;False;False;True
49;3;14;17697398;8;1;7.839;False;False;False;True
4;3;50;88418898;3;4;5.06;False;False;True;True
11;2;30;52029967;5;11;4.503;False;False;True;True
42;3;15;20569374;2;2;4.631;False;False;True;True
43;3;15;20119613;6;2;6.638;False;False;True;True
24;2;20;35390038;4;7;5.7;False;False;True;True
58;4;13;15004074;0;0;4.267;False;False;False;True
41;2;15;21054041;7;41;6.47;False;True;True;True
40;2;15;21571044;8;3;6.945;False;False;False;True
26;2;19;32766034;3;26;30.266;True;False;False;True
13;4;27;46530342;4;13;6.426;False;False;True;True
40;4;15;21575435;5;0;7.09;False;False;False;True
54;2;13;16101653;5;2;5.323;False;False;False;True
60;3;12;14512802;0;0;3.227;False;False;False;True
29;4;18;29496953;0;0;4.2;False;False;False;True
41;4;15;21073033;0;0;4.302;False;False;False;True
37;3;16;23269378;4;2;5.638;False;False;False;True
39;2;16;22120540;3;39;31.263;True;False;False;True
35;2;16;24558460;5;35;31.203;True;False;False;True
23;2;20;36865657;6;23;5.505;False;False;True;True
38;2;16;22675709;5;3;4.796;False;False;True;True
23;3;20;36862631;7;5;6.715;False;False;True;True
5;4;44;80384551;0;0;6.702;False;False;False;True
7;2;37;68014464;4;7;4.448;False;False;True;True
56;4;13;15521333;0;0;4.267;False;False;False;True
63;4;12;13829587;0;0;4.268;False;False;False;True
38;4;16;22667397;0;0;4.272;False;False;False;True
44;4;15;19650198;0;0;4.257;False;False;False;True
56;2;13;15539585;2;1;30.279;True;True;False;True
12;2;28;49117020;3;12;3.97;False;False;True;True
36;4;16;23904421;4;1;6.523;False;False;False;True
41;4;15;21075057;2;0;5.469;False;False;False;True
36;3;16;23901450;4;6;31.193;True;True;True;True
29;2;18;29480238;2;2;4.395;False;False;False;True
45;2;14;19248801;11;13;8.481;False;False;True;True
29;3;18;29478949;5;2;6.172;False;False;False;True
42;3;15;20577569;8;12;7.734;False;False;True;True
51;3;14;17031063;8;0;7.703;False;False;False;True
19;3;22;44202682;2;19;30.292;True;False;False;True
21;2;21;40199914;4;21;4.453;False;False;True;True
22;4;21;38464199;3;1;6.015;False;False;False;True
63;3;12;13819462;0;0;3.197;False;False;False;True
62;3;12;14059725;0;0;3.173;False;False;False;True
13;3;27;46536886;3;13;4.945;False;False;True;True
55;2;13;15800513;9;55;7.307;False;False;True;True
9;2;33;58944459;2;9;3.755;False;False;True;True
49;4;14;17682540;0;0;4.244;False;False;False;True
48;4;14;18068243;0;0;4.22;False;False;False;True
24;3;20;35364970;2;2;5.162;False;False;False;True
18;4;23;46549066;4;18;6.617;False;False;True;True
17;2;24;49112382;4;17;4.569;False;False;True;True
58;3;13;15013649;8;0;7.649;False;False;False;True
56;4;13;15526554;0;0;4.219;False;False;False;True
51;3;14;17019603;4;0;5.614;False;False;False;True
49;2;14;17684001;8;4;6.925;False;True;True;True
27;2;19;31587469;5;27;5.263;False;True;True;True
38;4;16;22669407;4;0;6.456;False;False;False;True
40;3;15;21563656;7;2;7.29;False;False;True;True
4;3;50;88408825;5;4;5.45;False;False;True;True
32;2;17;26803417;3;4;4.299;False;False;True;True
45;3;14;19247309;4;0;5.561;False;False;False;True
58;4;13;14985751;0;0;4.216;False;False;False;True
16;3;25;52018994;0;0;6.085;False;False;False;True
29;3;18;29469597;3;2;5.082;False;False;False;True
35;3;16;24579034;4;3;5.83;False;False;False;True
8;3;35;63165206;5;8;6.155;False;False;True;True
56;2;13;15525767;2;56;31.235;True;False;False;True
22;2;21;38448570;1;22;30.291;True;False;False;True
40;3;15;21580821;5;16;6.148;False;False;True;True
13;4;27;46527818;3;1;5.959;False;False;False;True
53;4;13;16397638;0;0;4.216;False;False;False;True
59;3;13;14749854;0;0;3.351;False;False;False;True
38;3;16;22683474;2;2;4.603;False;False;False;True
30;2;18;28525258;3;3;4.478;False;False;False;True
23;3;20;36856130;3;4;5.066;False;False;True;True
29;4;18;29482088;3;0;5.942;False;False;False;True
39;2;16;22110288;7;3;6.435;False;False;False;True
34;2;17;25264157;5;5;5.394;False;False;True;True
33;4;17;26030928;8;2;8.694;False;False;True;True
35;3;16;24567210;6;4;6.758;False;False;True;True
25;3;20;34006105;8;3;7.797;False;False;False;True
62;3;12;14058982;2;0;4.415;False;False;False;True
59;3;13;14752761;8;0;7.13;False;False;False;True
12;2;28;49113137;5;12;4.5;False;False;True;True
28;3;18;30496393;3;28;5.014;False;False;True;True
20;4;22;42124102;2;2;5.826;False;False;False;True
23;3;20;36846551;5;3;5.612;False;False;False;True
20;4;22;42102123;2;8;5.734;False;False;True;True
64;2;12;13616212;4;1;31.256;True;True;False;True
59;4;13;14752384;0;0;4.215;False;False;False;True
49;3;14;17699980;9;0;8.187;False;False;False;True
19;3;22;44216798;5;19;30.27;True;False;True;True
52;2;13;16686929;4;2;4.659;False;False;False;True
51;4;14;17014688;0;0;4.21;False;False;False;True
28;4;18;30491257;6;0;7.524;False;False;False;True
18;2;23;46558483;5;18;4.529;False;False;True;True
7;3;37;68007731;2;2;5.7;False;False;False;True
50;4;14;17348013;0;0;4.214;False;False;False;True
42;3;15;20565787;2;5;4.558;False;False;True;True
27;3;19;31578642;2;2;4.505;False;False;False;True
53;3;13;16385966;6;0;6.628;False;False;False;True
15;3;25;42125984;5;5;6.158;False;True;True;True
25;3;20;34028081;4;25;5.585;False;False;True;True
60;3;12;14519442;0;0;3.336;False;False;False;True
21;4;21;40192295;7;4;8.214;False;False;True;True
8;4;35;63167332;1;1;6.156;False;False;False;True
58;4;13;15004897;0;0;4.223;False;False;False;True
41;4;15;21076718;0;0;4.203;False;False;False;True
14;3;26;44227176;1;1;4.896;False;False;False;True
41;2;15;21059782;7;2;6.379;False;False;False;True
15;3;25;42118545;5;3;6.167;False;False;True;True
14;2;26;44206095;3;14;3.932;False;False;True;True
49;3;14;17684612;5;0;6.076;False;False;False;True
10;4;31;55271395;5;4;30.227;True;True;False;True
50;2;14;17356857;5;2;5.312;False;False;False;True
27;3;19;31572794;4;8;5.023;False;False;True;True
61;2;12;14286227;8;61;6.772;False;False;True;True
19;3;22;44215666;4;19;5.627;False;False;True;True
30;2;18;28517061;9;4;6.344;False;True;True;True
26;3;19;32755162;5;2;6.111;False;False;False;True
16;2;25;52022481;5;16;4.989;False;False;True;True
30;2;18;28529023;6;5;5.712;False;True;True;True
5;4;44;80385636;1;1;6.91;False;False;False;True
13;4;27;46535559;8;3;8.687;False;False;True;True
17;4;24;49127781;4;5;8.243;False;False;True;True
20;2;22;42105940;3;20;3.953;False;False;True;True
28;2;18;30510019;1;1;4.525;False;False;False;True
43;4;15;20118687;0;0;4.212;False;False;False;True
50;4;14;17363987;0;0;4.224;False;False;False;True
49;3;14;17699396;5;1;6.085;False;False;False;True
64;2;12;13630387;4;33;4.638;False;False;True;True
30;4;18;28520858;0;0;4.221;False;False;False;True
56;3;13;15515736;9;0;8.233;False;False;False;True
20;3;22;42126421;5;20;6.077;False;False;True;True
58;2;13;15013216;8;18;6.85;False;False;True;True
64;2;12;13621083;3;7;4.383;False;False;True;True
11;4;30;52016893;5;11;7.024;False;False;True;True
13;2;27;46532426;5;13;5.109;False;False;True;True
42;3;15;20571529;5;4;6.135;False;False;True;True
8;2;35;63162513;2;8;3.42;False;False;True;True
25;3;20;34009588;3;25;5.009;False;False;True;True
38;3;16;22676836;5;3;6.28;False;False;False;True
37;4;16;23284905;6;0;7.635;False;False;False;True
43;4;15;20104329;0;0;4.363;False;False;False;True
21;3;21;40191275;4;4;5.759;False;False;False;True
15;3;25;42123686;2;2;4.738;False;False;False;True
13;4;27;46534654;4;1;6.525;False;False;False;True
62;4;12;14056091;0;0;4.215;False;False;False;True
14;4;26;44225180;3;4;5.962;False;False;True;True
39;2;16;22102276;3;39;31.2;True;False;True;True
36;2;16;23905981;7;6;6.502;False;False;True;True
20;2;22;42124046;8;20;6.602;False;False;True;True
22;3;21;38464972;3;3;5.362;False;False;False;True
28;4;18;30511473;0;0;4.151;False;False;False;True
31;2;17;27628467;9;3;7.333;False;False;False;True
11;4;30;52023535;2;11;5.417;False;False;True;True
49;4;14;17692127;0;0;4.218;False;False;False;True
17;4;24;49123419;6;17;7.589;False;False;True;True
42;4;15;20569863;0;0;4.159;False;False;False;True
5;2;44;80383836;2;5;3.358;False;False;True;True
40;2;15;21566629;4;6;4.718;False;False;True;True
59;3;13;14746650;8;0;7.609;False;False;False;True
43;4;15;20102230;0;0;4.216;False;False;False;True
45;4;14;19235993;0;0;4.321;False;False;False;True
36;4;16;23897383;7;0;8.082;False;False;False;True
52;2;13;16690862;8;5;6.384;False;True;True;True
51;4;14;17030584;0;0;4.225;False;False;False;True
38;4;16;22674294;8;0;8.644;False;False;False;True
35;3;16;24562375;6;2;6.803;False;False;False;True
11;2;30;52016501;3;11;3.998;False;False;True;True
31;2;17;27632755;5;3;5.329;False;False;False;True
9;4;33;58963205;2;2;30.234;True;True;False;True
17;4;24;49129938;4;17;6.611;False;False;True;True
8;4;35;63165615;3;8;5.965;False;False;True;True
30;3;18;28542208;6;4;6.079;False;False;True;True
58;3;13;15006377;4;0;5.551;False;False;False;True
24;4;20;35390795;6;1;7.674;False;False;False;True
50;3;14;17344930;5;0;6.115;False;False;False;True
52;4;13;16688860;0;0;4.22;False;False;False;True
28;2;18;30484116;11;28;8.296;False;False;True;True
29;2;18;29477459;2;2;4.41;False;False;False;True
48;3;14;18053892;8;1;7.706;False;False;False;True
55;3;13;15801262;3;0;4.997;False;False;False;True
45;3;14;19242555;6;1;6.638;False;False;False;True
54;3;13;16099818;7;0;7.092;False;False;False;True
7;4;37;68005261;3;7;5.888;False;False;True;True
27;2;19;31596510;4;4;4.766;False;False;False;True
7;3;37;68028570;0;0;5.914;False;False;False;True
5;4;44;80375395;2;5;5.434;False;False;True;True
32;3;17;26803532;7;32;7.224;False;False;True;True
44;4;15;19654011;0;0;4.152;False;False;False;True
52;3;13;16680903;8;0;7.702;False;False;False;True
43;3;15;20113534;5;2;6.146;False;False;False;True
30;3;18;28518372;5;1;5.552;False;False;False;True
36;2;16;23896314;4;8;5.093;False;False;True;True
22;3;21;38445532;8;5;7.323;False;True;True;True
48;4;14;18046787;0;0;4.269;False;False;False;True
18;4;23;46530065;7;18;8.201;False;False;True;True
57;3;13;15250200;0;0;3.435;False;False;False;True
29;3;18;29475174;10;29;8.74;False;False;True;True
18;4;23;46527020;5;18;7.055;False;False;True;True
59;4;13;14740016;0;0;4.227;False;False;False;True
14;4;26;44212012;3;1;5.443;False;False;False;True
25;4;20;34032077;5;1;7.093;False;False;False;True
19;4;22;44226375;5;2;7.08;False;False;True;True
52;3;13;16691879;5;0;6.051;False;False;False;True
9;4;33;58962190;4;5;6.953;False;False;True;True
16;4;25;52028994;4;16;6.612;False;False;True;True
21;4;21;40214224;4;4;6.615;False;False;True;True
34;3;17;25264121;3;34;31.192;True;False;True;True
23;3;20;36864873;6;4;30.224;True;True;True;True
37;3;16;23287463;11;5;9.5;False;False;True;True
49;3;14;17705048;11;0;9.339;False;False;False;True
55;3;13;15799548;0;0;3.467;False;False;False;True
44;3;15;19645593;7;5;7.119;False;False;True;True
25;4;20;34004016;4;0;6.433;False;False;False;True
58;3;13;14994131;12;0;9.256;False;False;False;True
40;4;15;21578515;0;0;4.359;False;False;False;True
48;3;14;18060003;5;1;6.101;False;False;False;True
28;4;18;30505231;5;1;7.034;False;False;False;True
51;2;14;17031895;9;51;31.227;True;False;False;True
11;4;30;52004050;3;3;6.029;False;False;False;True
31;4;17;27625850;0;0;4.272;False;False;False;True
17;4;24;49135063;5;10;6.655;False;False;True;True
11;4;30;52022799;3;11;5.986;False;False;True;True
25;4;20;34029787;10;0;9.078;False;False;False;True
10;4;31;55271569;6;5;7.628;False;False;True;True
11;3;30;52029513;4;11;5.431;False;False;True;True
64;3;12;13612348;0;0;3.464;False;False;False;True
18;4;23;46534305;3;3;30.242;True;True;False;True
32;2;17;26789233;9;4;7.413;False;False;False;True
26;2;19;32751796;2;2;4.93;False;False;False;True
