N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT;D;WR
8;4;35;63159299;0;0;4.276;False;False;False;True;False;False
23;4;20;36839653;0;0;4.293;False;False;False;True;False;False
18;3;23;46557858;5;1;6.186;False;False;False;True;False;False
49;4;14;17705489;0;0;4.306;False;False;False;True;False;False
41;4;15;21063557;5;0;6.611;False;False;False;True;False;False
16;3;25;52025941;5;2;6.346;False;False;False;True;False;False
56;4;13;15523456;0;0;4.283;False;False;False;True;False;False
62;3;12;14052262;7;0;6.806;False;False;False;True;False;False
15;4;25;42101006;0;0;4.29;False;False;False;True;False;False
61;3;12;14267590;0;0;3.211;False;False;False;True;False;False
29;2;18;29499138;4;29;4.603;False;True;True;True;False;False
18;3;23;46540702;2;2;4.576;False;False;False;True;False;False
48;2;14;18047321;7;1;6.655;False;False;False;True;False;False
26;3;19;32760337;0;0;3.245;False;False;False;True;False;False
19;4;22;44205895;0;0;4.308;False;False;False;True;False;False
4;2;50;88419235;3;3;4.056;False;False;True;True;False;False
41;4;15;21062273;0;0;4.294;False;False;False;True;False;False
7;3;37;68022605;2;5;4.521;False;False;True;True;False;False
21;4;21;40185344;0;0;4.254;False;False;False;True;False;False
29;4;18;29483903;0;0;4.375;False;False;False;True;False;False
17;4;24;49131718;7;1;8.122;False;False;False;True;False;False
28;2;18;30504052;5;28;4.673;False;True;True;True;False;False
29;4;18;29485797;0;0;4.287;False;False;False;True;False;False
56;2;13;15527076;5;15;5.527;False;False;True;True;False;False
53;3;13;16377284;0;0;3.228;False;False;False;True;False;False
15;4;25;42108983;0;0;4.291;False;False;False;True;False;False
6;2;40;73693856;3;6;4.034;False;False;True;True;False;False
45;4;14;19231551;0;0;4.284;False;False;False;True;False;False
45;3;14;19235640;5;1;5.878;False;True;False;True;False;False
18;4;23;46542344;4;0;6.01;False;False;False;True;False;False
59;4;13;14765863;2;0;5.527;False;False;False;True;False;False
37;2;16;23269973;5;37;5.436;False;False;True;True;False;False
19;4;22;44202410;6;0;7.015;False;False;False;True;False;False
43;3;15;20106559;5;0;6.316;False;False;False;True;False;False
29;4;18;29473021;0;0;4.283;False;False;False;True;False;False
4;2;50;88421203;2;2;3.504;False;False;False;True;False;False
12;4;28;49128930;0;0;4.279;False;False;False;True;False;False
6;3;40;73683516;1;6;3.905;False;False;False;True;False;False
63;3;12;13832262;3;0;4.447;False;False;False;True;False;False
21;4;21;40200944;0;0;4.236;False;False;False;True;False;False
54;4;13;16076275;0;0;4.345;False;False;False;True;False;False
40;3;15;21586299;7;0;6.594;False;False;False;True;False;False
50;3;14;17333633;0;0;3.282;False;False;False;True;False;False
62;2;12;14060499;10;17;7.96;False;False;True;True;False;False
52;2;13;16680150;10;36;7.554;False;False;True;True;False;False
29;4;18;29467397;0;0;4.29;False;False;False;True;False;False
48;4;14;18060552;0;0;4.287;False;False;False;True;False;False
25;2;20;34017074;4;1;4.207;False;False;False;True;False;False
10;2;31;55255371;3;3;4.183;False;False;True;True;False;False
54;4;13;16091739;0;0;4.309;False;False;False;True;False;False
18;4;23;46526584;0;0;4.344;False;False;False;True;False;False
41;4;15;21050963;0;0;4.288;False;False;False;True;False;False
17;4;24;49135909;2;0;5.468;False;False;False;True;False;False
22;2;21;38448746;2;22;3.606;False;True;True;True;False;False
42;2;15;20565738;6;1;6.273;False;True;False;True;False;False
15;2;25;42123891;1;14;2.966;False;False;True;True;False;False
55;2;13;15810970;7;3;6.474;False;True;True;True;False;False
56;2;13;15534956;7;1;6.206;False;True;False;True;False;False
24;2;20;35382702;5;3;5.342;False;False;True;True;False;False
36;3;16;23918290;6;2;7.109;False;False;False;True;False;False
27;4;19;31584150;5;0;7.406;False;False;False;True;False;False
24;4;20;35381604;0;0;4.34;False;False;False;True;False;False
41;3;15;21073133;1;0;4.044;False;False;False;True;False;False
15;3;25;42112373;0;0;3.227;False;False;False;True;False;False
30;4;18;28516515;0;0;4.344;False;False;False;True;False;False
21;3;21;40203909;1;0;3.96;False;False;False;True;False;False
17;2;24;49127644;4;13;4.755;False;False;True;True;False;False
